,Battle,Date,Location,Result,belligerent,opp,own,pos,VorD,Infantry,Cavalry,Artillery,Ships,Airforce,Special
9238,Operatie_Kraai,19–20 December 1948[1],"Java and Sumatra, Indonesia[2]","Capture of the Indonesian Republican leadership at Yogyakarta[3]
Growing international opposition in the United Nations to Dutch attempts to assert control over Indonesia[4]",Abdul Haris Nasution,"800–900 airborne infantry[5]
23 Douglas DC-3s[5]
Dutch fighter aircraft and bombers[5]",3 Mitsubishi Zeros[2],L,D,1.0,,,,,
9239,Operatie_Product,21 July – 5 August 1947,"Java and Sumatra, Indonesia","Dutch victory

Indonesian Republican forces continue to conduct guerrilla operations afterwards despite severe losses",Sudirman,"around 120,000","around 200,000",L,D,200000.0,,,,,
9240,Operatie_Product,21 July – 5 August 1947,"Java and Sumatra, Indonesia","Dutch victory

Indonesian Republican forces continue to conduct guerrilla operations afterwards despite severe losses",Simon Spoor,"around 200,000","around 120,000",R,V,120000.0,,,,,
9241,Operatie_Product,21 July – 5 August 1947,"Java and Sumatra, Indonesia","Dutch victory

Indonesian Republican forces continue to conduct guerrilla operations afterwards despite severe losses",Alvin Spoor,"around 200,000","around 120,000",R,V,120000.0,,,,,
9242,Operatie_Product,21 July – 5 August 1947,"Java and Sumatra, Indonesia","Dutch victory

Indonesian Republican forces continue to conduct guerrilla operations afterwards despite severe losses",Hubertus van Mook,"around 200,000","around 120,000",R,V,120000.0,,,,,
9243,Operation Achilles,"March 6 – May 30, 2007","Helmand province, Afghanistan",Tactical Coalition victory,Dan K. McNeill,"10,000 (Taliban claim), about 4,000 according to NATO sources","4,200 (United Kingdom),
1,000 (United States),
1,000 (ANA),
320 (Denmark),
300 (Canada),
200 (Netherlands),
80 (Poland)",L,V,7100.0,,,,,
9244,Operation Achilles,"March 6 – May 30, 2007","Helmand province, Afghanistan",Tactical Coalition victory,Jacko Page,"10,000 (Taliban claim), about 4,000 according to NATO sources","4,200 (United Kingdom),
1,000 (United States),
1,000 (ANA),
320 (Denmark),
300 (Canada),
200 (Netherlands),
80 (Poland)",L,V,7100.0,,,,,
9245,Operation Achilles,"March 6 – May 30, 2007","Helmand province, Afghanistan",Tactical Coalition victory,Dadullah,"4,200 (United Kingdom),
1,000 (United States),
1,000 (ANA),
320 (Denmark),
300 (Canada),
200 (Netherlands),
80 (Poland)","10,000 (Taliban claim), about 4,000 according to NATO sources",R,D,4000.0,,,,,
9246,Operation Achilles,"March 6 – May 30, 2007","Helmand province, Afghanistan",Tactical Coalition victory,Abdul Qassim,"4,200 (United Kingdom),
1,000 (United States),
1,000 (ANA),
320 (Denmark),
300 (Canada),
200 (Netherlands),
80 (Poland)","10,000 (Taliban claim), about 4,000 according to NATO sources",R,D,4000.0,,,,,
9247,Operation Anaconda,"March 1–18, 2002","Shahi Kot Valley, Paktia Province, Afghanistan
Coordinates: 33°22′N 69°11′E﻿ / ﻿33.367°N 69.183°E﻿ / 33.367; 69.183","Coalition victory, Taliban evacuates but suffers heavy casualties",Franklin L. Hagenbeck,"600 – 1,000","30,000",L,V,30000.0,,,,,
9248,Operation Anaconda,"March 1–18, 2002","Shahi Kot Valley, Paktia Province, Afghanistan
Coordinates: 33°22′N 69°11′E﻿ / ﻿33.367°N 69.183°E﻿ / 33.367; 69.183","Coalition victory, Taliban evacuates but suffers heavy casualties",Rowan Tink,"600 – 1,000","30,000",L,V,30000.0,,,,,
9249,Operation Anaconda,"March 1–18, 2002","Shahi Kot Valley, Paktia Province, Afghanistan
Coordinates: 33°22′N 69°11′E﻿ / ﻿33.367°N 69.183°E﻿ / 33.367; 69.183","Coalition victory, Taliban evacuates but suffers heavy casualties",Saif-ur-Rehman Mansoor,"30,000","600 – 1,000",R,D,800.0,,,,,
9250,Operation Anaconda,"March 1–18, 2002","Shahi Kot Valley, Paktia Province, Afghanistan
Coordinates: 33°22′N 69°11′E﻿ / ﻿33.367°N 69.183°E﻿ / 33.367; 69.183","Coalition victory, Taliban evacuates but suffers heavy casualties",Tohir Yoʻldosh,"30,000","600 – 1,000",R,D,800.0,,,,,
9251,Operation Cast Lead,"27 December 2008 – 18 January 2009
(3 weeks and 1 day)",Gaza Strip and Southern Israel,"Israeli military victory[2][3][4][5]

Israel declared unilateral ceasefire, 12 hours later Hamas announced a one-week ceasefire.[6][7]
Humanitarian crisis and deterioration of infrastructure and basic services in Gaza.[8]
Number of rockets being fired from Gaza reduced.
See results",Ehud Olmert,"Hamas (Izzedine Al-Qassam Brigades and paramilitary police): 20,000 (est. total)[18][19]
Other Palestinian paramilitary forces: 10,000[20]

BM-21 Grad and Qassam rockets[21]
AT-3 Sagger, AT-5 Spandrel, and Yasin Anti-tank missiles[21][22][23]
AK-47 assault rifles
RPK light machineguns
Recoilless guns[24]
Heavy machine guns[24]
Mortars of various calibres[21]
Improvised explosive devices and other booby traps[17][25]
Anti-aircraft missiles[26] including SA-7s[24]
Suicide bombers[21][27]","IDF: 4,000[11]–20,000[12] deployed in ground invasion and tens of thousands of reservists mobilized[13] (176,000 total active personnel)[14]

F-16I Sufa aircraft[15]
AH-64 Saraph and AH-1F Tzefa attack helicopters[15]
Elbit Hermes 450, Heron TP Unmanned aerial vehicles[15]
130–140 Merkava tanks[16]
Nagmash, Achzarit, Puma, Namer, and other armored personnel carriers[15]
100 armored CAT D9 and other armored bulldozers[15][17]
Super Dvora patrol boats,[15] and Sa'ar 4.5-class missile boats
Soltam M-71, M109 howitzers, and mortars[15]
B-300, Matador, and Spike, anti-tank missiles[15]
Viper military robots[15]
Tavor and M16 assault rifles, light and heavy machine guns, and semi-automatic sniper rifles[15]",L,V,176000.0,,,,,
9252,Operation Cast Lead,"27 December 2008 – 18 January 2009
(3 weeks and 1 day)",Gaza Strip and Southern Israel,"Israeli military victory[2][3][4][5]

Israel declared unilateral ceasefire, 12 hours later Hamas announced a one-week ceasefire.[6][7]
Humanitarian crisis and deterioration of infrastructure and basic services in Gaza.[8]
Number of rockets being fired from Gaza reduced.
See results",Prime Minister of Israel,"Hamas (Izzedine Al-Qassam Brigades and paramilitary police): 20,000 (est. total)[18][19]
Other Palestinian paramilitary forces: 10,000[20]

BM-21 Grad and Qassam rockets[21]
AT-3 Sagger, AT-5 Spandrel, and Yasin Anti-tank missiles[21][22][23]
AK-47 assault rifles
RPK light machineguns
Recoilless guns[24]
Heavy machine guns[24]
Mortars of various calibres[21]
Improvised explosive devices and other booby traps[17][25]
Anti-aircraft missiles[26] including SA-7s[24]
Suicide bombers[21][27]","IDF: 4,000[11]–20,000[12] deployed in ground invasion and tens of thousands of reservists mobilized[13] (176,000 total active personnel)[14]

F-16I Sufa aircraft[15]
AH-64 Saraph and AH-1F Tzefa attack helicopters[15]
Elbit Hermes 450, Heron TP Unmanned aerial vehicles[15]
130–140 Merkava tanks[16]
Nagmash, Achzarit, Puma, Namer, and other armored personnel carriers[15]
100 armored CAT D9 and other armored bulldozers[15][17]
Super Dvora patrol boats,[15] and Sa'ar 4.5-class missile boats
Soltam M-71, M109 howitzers, and mortars[15]
B-300, Matador, and Spike, anti-tank missiles[15]
Viper military robots[15]
Tavor and M16 assault rifles, light and heavy machine guns, and semi-automatic sniper rifles[15]",L,V,176000.0,,,,,
9253,Operation Cast Lead,"27 December 2008 – 18 January 2009
(3 weeks and 1 day)",Gaza Strip and Southern Israel,"Israeli military victory[2][3][4][5]

Israel declared unilateral ceasefire, 12 hours later Hamas announced a one-week ceasefire.[6][7]
Humanitarian crisis and deterioration of infrastructure and basic services in Gaza.[8]
Number of rockets being fired from Gaza reduced.
See results",Ehud Barak,"Hamas (Izzedine Al-Qassam Brigades and paramilitary police): 20,000 (est. total)[18][19]
Other Palestinian paramilitary forces: 10,000[20]

BM-21 Grad and Qassam rockets[21]
AT-3 Sagger, AT-5 Spandrel, and Yasin Anti-tank missiles[21][22][23]
AK-47 assault rifles
RPK light machineguns
Recoilless guns[24]
Heavy machine guns[24]
Mortars of various calibres[21]
Improvised explosive devices and other booby traps[17][25]
Anti-aircraft missiles[26] including SA-7s[24]
Suicide bombers[21][27]","IDF: 4,000[11]–20,000[12] deployed in ground invasion and tens of thousands of reservists mobilized[13] (176,000 total active personnel)[14]

F-16I Sufa aircraft[15]
AH-64 Saraph and AH-1F Tzefa attack helicopters[15]
Elbit Hermes 450, Heron TP Unmanned aerial vehicles[15]
130–140 Merkava tanks[16]
Nagmash, Achzarit, Puma, Namer, and other armored personnel carriers[15]
100 armored CAT D9 and other armored bulldozers[15][17]
Super Dvora patrol boats,[15] and Sa'ar 4.5-class missile boats
Soltam M-71, M109 howitzers, and mortars[15]
B-300, Matador, and Spike, anti-tank missiles[15]
Viper military robots[15]
Tavor and M16 assault rifles, light and heavy machine guns, and semi-automatic sniper rifles[15]",L,V,176000.0,,,,,
9254,Operation Cast Lead,"27 December 2008 – 18 January 2009
(3 weeks and 1 day)",Gaza Strip and Southern Israel,"Israeli military victory[2][3][4][5]

Israel declared unilateral ceasefire, 12 hours later Hamas announced a one-week ceasefire.[6][7]
Humanitarian crisis and deterioration of infrastructure and basic services in Gaza.[8]
Number of rockets being fired from Gaza reduced.
See results",Ministry of Defense (Israel),"Hamas (Izzedine Al-Qassam Brigades and paramilitary police): 20,000 (est. total)[18][19]
Other Palestinian paramilitary forces: 10,000[20]

BM-21 Grad and Qassam rockets[21]
AT-3 Sagger, AT-5 Spandrel, and Yasin Anti-tank missiles[21][22][23]
AK-47 assault rifles
RPK light machineguns
Recoilless guns[24]
Heavy machine guns[24]
Mortars of various calibres[21]
Improvised explosive devices and other booby traps[17][25]
Anti-aircraft missiles[26] including SA-7s[24]
Suicide bombers[21][27]","IDF: 4,000[11]–20,000[12] deployed in ground invasion and tens of thousands of reservists mobilized[13] (176,000 total active personnel)[14]

F-16I Sufa aircraft[15]
AH-64 Saraph and AH-1F Tzefa attack helicopters[15]
Elbit Hermes 450, Heron TP Unmanned aerial vehicles[15]
130–140 Merkava tanks[16]
Nagmash, Achzarit, Puma, Namer, and other armored personnel carriers[15]
100 armored CAT D9 and other armored bulldozers[15][17]
Super Dvora patrol boats,[15] and Sa'ar 4.5-class missile boats
Soltam M-71, M109 howitzers, and mortars[15]
B-300, Matador, and Spike, anti-tank missiles[15]
Viper military robots[15]
Tavor and M16 assault rifles, light and heavy machine guns, and semi-automatic sniper rifles[15]",L,V,176000.0,,,,,
9255,Operation Cast Lead,"27 December 2008 – 18 January 2009
(3 weeks and 1 day)",Gaza Strip and Southern Israel,"Israeli military victory[2][3][4][5]

Israel declared unilateral ceasefire, 12 hours later Hamas announced a one-week ceasefire.[6][7]
Humanitarian crisis and deterioration of infrastructure and basic services in Gaza.[8]
Number of rockets being fired from Gaza reduced.
See results",Gabi Ashkenazi,"Hamas (Izzedine Al-Qassam Brigades and paramilitary police): 20,000 (est. total)[18][19]
Other Palestinian paramilitary forces: 10,000[20]

BM-21 Grad and Qassam rockets[21]
AT-3 Sagger, AT-5 Spandrel, and Yasin Anti-tank missiles[21][22][23]
AK-47 assault rifles
RPK light machineguns
Recoilless guns[24]
Heavy machine guns[24]
Mortars of various calibres[21]
Improvised explosive devices and other booby traps[17][25]
Anti-aircraft missiles[26] including SA-7s[24]
Suicide bombers[21][27]","IDF: 4,000[11]–20,000[12] deployed in ground invasion and tens of thousands of reservists mobilized[13] (176,000 total active personnel)[14]

F-16I Sufa aircraft[15]
AH-64 Saraph and AH-1F Tzefa attack helicopters[15]
Elbit Hermes 450, Heron TP Unmanned aerial vehicles[15]
130–140 Merkava tanks[16]
Nagmash, Achzarit, Puma, Namer, and other armored personnel carriers[15]
100 armored CAT D9 and other armored bulldozers[15][17]
Super Dvora patrol boats,[15] and Sa'ar 4.5-class missile boats
Soltam M-71, M109 howitzers, and mortars[15]
B-300, Matador, and Spike, anti-tank missiles[15]
Viper military robots[15]
Tavor and M16 assault rifles, light and heavy machine guns, and semi-automatic sniper rifles[15]",L,V,176000.0,,,,,
9256,Operation Cast Lead,"27 December 2008 – 18 January 2009
(3 weeks and 1 day)",Gaza Strip and Southern Israel,"Israeli military victory[2][3][4][5]

Israel declared unilateral ceasefire, 12 hours later Hamas announced a one-week ceasefire.[6][7]
Humanitarian crisis and deterioration of infrastructure and basic services in Gaza.[8]
Number of rockets being fired from Gaza reduced.
See results",Chief of General Staff (Israel),"Hamas (Izzedine Al-Qassam Brigades and paramilitary police): 20,000 (est. total)[18][19]
Other Palestinian paramilitary forces: 10,000[20]

BM-21 Grad and Qassam rockets[21]
AT-3 Sagger, AT-5 Spandrel, and Yasin Anti-tank missiles[21][22][23]
AK-47 assault rifles
RPK light machineguns
Recoilless guns[24]
Heavy machine guns[24]
Mortars of various calibres[21]
Improvised explosive devices and other booby traps[17][25]
Anti-aircraft missiles[26] including SA-7s[24]
Suicide bombers[21][27]","IDF: 4,000[11]–20,000[12] deployed in ground invasion and tens of thousands of reservists mobilized[13] (176,000 total active personnel)[14]

F-16I Sufa aircraft[15]
AH-64 Saraph and AH-1F Tzefa attack helicopters[15]
Elbit Hermes 450, Heron TP Unmanned aerial vehicles[15]
130–140 Merkava tanks[16]
Nagmash, Achzarit, Puma, Namer, and other armored personnel carriers[15]
100 armored CAT D9 and other armored bulldozers[15][17]
Super Dvora patrol boats,[15] and Sa'ar 4.5-class missile boats
Soltam M-71, M109 howitzers, and mortars[15]
B-300, Matador, and Spike, anti-tank missiles[15]
Viper military robots[15]
Tavor and M16 assault rifles, light and heavy machine guns, and semi-automatic sniper rifles[15]",L,V,176000.0,,,,,
9257,Operation Cast Lead,"27 December 2008 – 18 January 2009
(3 weeks and 1 day)",Gaza Strip and Southern Israel,"Israeli military victory[2][3][4][5]

Israel declared unilateral ceasefire, 12 hours later Hamas announced a one-week ceasefire.[6][7]
Humanitarian crisis and deterioration of infrastructure and basic services in Gaza.[8]
Number of rockets being fired from Gaza reduced.
See results",Yoav Galant,"Hamas (Izzedine Al-Qassam Brigades and paramilitary police): 20,000 (est. total)[18][19]
Other Palestinian paramilitary forces: 10,000[20]

BM-21 Grad and Qassam rockets[21]
AT-3 Sagger, AT-5 Spandrel, and Yasin Anti-tank missiles[21][22][23]
AK-47 assault rifles
RPK light machineguns
Recoilless guns[24]
Heavy machine guns[24]
Mortars of various calibres[21]
Improvised explosive devices and other booby traps[17][25]
Anti-aircraft missiles[26] including SA-7s[24]
Suicide bombers[21][27]","IDF: 4,000[11]–20,000[12] deployed in ground invasion and tens of thousands of reservists mobilized[13] (176,000 total active personnel)[14]

F-16I Sufa aircraft[15]
AH-64 Saraph and AH-1F Tzefa attack helicopters[15]
Elbit Hermes 450, Heron TP Unmanned aerial vehicles[15]
130–140 Merkava tanks[16]
Nagmash, Achzarit, Puma, Namer, and other armored personnel carriers[15]
100 armored CAT D9 and other armored bulldozers[15][17]
Super Dvora patrol boats,[15] and Sa'ar 4.5-class missile boats
Soltam M-71, M109 howitzers, and mortars[15]
B-300, Matador, and Spike, anti-tank missiles[15]
Viper military robots[15]
Tavor and M16 assault rifles, light and heavy machine guns, and semi-automatic sniper rifles[15]",L,V,176000.0,,,,,
9258,Operation Cast Lead,"27 December 2008 – 18 January 2009
(3 weeks and 1 day)",Gaza Strip and Southern Israel,"Israeli military victory[2][3][4][5]

Israel declared unilateral ceasefire, 12 hours later Hamas announced a one-week ceasefire.[6][7]
Humanitarian crisis and deterioration of infrastructure and basic services in Gaza.[8]
Number of rockets being fired from Gaza reduced.
See results",Southern Command (Israel),"Hamas (Izzedine Al-Qassam Brigades and paramilitary police): 20,000 (est. total)[18][19]
Other Palestinian paramilitary forces: 10,000[20]

BM-21 Grad and Qassam rockets[21]
AT-3 Sagger, AT-5 Spandrel, and Yasin Anti-tank missiles[21][22][23]
AK-47 assault rifles
RPK light machineguns
Recoilless guns[24]
Heavy machine guns[24]
Mortars of various calibres[21]
Improvised explosive devices and other booby traps[17][25]
Anti-aircraft missiles[26] including SA-7s[24]
Suicide bombers[21][27]","IDF: 4,000[11]–20,000[12] deployed in ground invasion and tens of thousands of reservists mobilized[13] (176,000 total active personnel)[14]

F-16I Sufa aircraft[15]
AH-64 Saraph and AH-1F Tzefa attack helicopters[15]
Elbit Hermes 450, Heron TP Unmanned aerial vehicles[15]
130–140 Merkava tanks[16]
Nagmash, Achzarit, Puma, Namer, and other armored personnel carriers[15]
100 armored CAT D9 and other armored bulldozers[15][17]
Super Dvora patrol boats,[15] and Sa'ar 4.5-class missile boats
Soltam M-71, M109 howitzers, and mortars[15]
B-300, Matador, and Spike, anti-tank missiles[15]
Viper military robots[15]
Tavor and M16 assault rifles, light and heavy machine guns, and semi-automatic sniper rifles[15]",L,V,176000.0,,,,,
9259,Operation Cast Lead,"27 December 2008 – 18 January 2009
(3 weeks and 1 day)",Gaza Strip and Southern Israel,"Israeli military victory[2][3][4][5]

Israel declared unilateral ceasefire, 12 hours later Hamas announced a one-week ceasefire.[6][7]
Humanitarian crisis and deterioration of infrastructure and basic services in Gaza.[8]
Number of rockets being fired from Gaza reduced.
See results",Ido Nehoshtan,"Hamas (Izzedine Al-Qassam Brigades and paramilitary police): 20,000 (est. total)[18][19]
Other Palestinian paramilitary forces: 10,000[20]

BM-21 Grad and Qassam rockets[21]
AT-3 Sagger, AT-5 Spandrel, and Yasin Anti-tank missiles[21][22][23]
AK-47 assault rifles
RPK light machineguns
Recoilless guns[24]
Heavy machine guns[24]
Mortars of various calibres[21]
Improvised explosive devices and other booby traps[17][25]
Anti-aircraft missiles[26] including SA-7s[24]
Suicide bombers[21][27]","IDF: 4,000[11]–20,000[12] deployed in ground invasion and tens of thousands of reservists mobilized[13] (176,000 total active personnel)[14]

F-16I Sufa aircraft[15]
AH-64 Saraph and AH-1F Tzefa attack helicopters[15]
Elbit Hermes 450, Heron TP Unmanned aerial vehicles[15]
130–140 Merkava tanks[16]
Nagmash, Achzarit, Puma, Namer, and other armored personnel carriers[15]
100 armored CAT D9 and other armored bulldozers[15][17]
Super Dvora patrol boats,[15] and Sa'ar 4.5-class missile boats
Soltam M-71, M109 howitzers, and mortars[15]
B-300, Matador, and Spike, anti-tank missiles[15]
Viper military robots[15]
Tavor and M16 assault rifles, light and heavy machine guns, and semi-automatic sniper rifles[15]",L,V,176000.0,,,,,
9260,Operation Cast Lead,"27 December 2008 – 18 January 2009
(3 weeks and 1 day)",Gaza Strip and Southern Israel,"Israeli military victory[2][3][4][5]

Israel declared unilateral ceasefire, 12 hours later Hamas announced a one-week ceasefire.[6][7]
Humanitarian crisis and deterioration of infrastructure and basic services in Gaza.[8]
Number of rockets being fired from Gaza reduced.
See results",Israeli Air Force,"Hamas (Izzedine Al-Qassam Brigades and paramilitary police): 20,000 (est. total)[18][19]
Other Palestinian paramilitary forces: 10,000[20]

BM-21 Grad and Qassam rockets[21]
AT-3 Sagger, AT-5 Spandrel, and Yasin Anti-tank missiles[21][22][23]
AK-47 assault rifles
RPK light machineguns
Recoilless guns[24]
Heavy machine guns[24]
Mortars of various calibres[21]
Improvised explosive devices and other booby traps[17][25]
Anti-aircraft missiles[26] including SA-7s[24]
Suicide bombers[21][27]","IDF: 4,000[11]–20,000[12] deployed in ground invasion and tens of thousands of reservists mobilized[13] (176,000 total active personnel)[14]

F-16I Sufa aircraft[15]
AH-64 Saraph and AH-1F Tzefa attack helicopters[15]
Elbit Hermes 450, Heron TP Unmanned aerial vehicles[15]
130–140 Merkava tanks[16]
Nagmash, Achzarit, Puma, Namer, and other armored personnel carriers[15]
100 armored CAT D9 and other armored bulldozers[15][17]
Super Dvora patrol boats,[15] and Sa'ar 4.5-class missile boats
Soltam M-71, M109 howitzers, and mortars[15]
B-300, Matador, and Spike, anti-tank missiles[15]
Viper military robots[15]
Tavor and M16 assault rifles, light and heavy machine guns, and semi-automatic sniper rifles[15]",L,V,176000.0,,,,,
9261,Operation Cast Lead,"27 December 2008 – 18 January 2009
(3 weeks and 1 day)",Gaza Strip and Southern Israel,"Israeli military victory[2][3][4][5]

Israel declared unilateral ceasefire, 12 hours later Hamas announced a one-week ceasefire.[6][7]
Humanitarian crisis and deterioration of infrastructure and basic services in Gaza.[8]
Number of rockets being fired from Gaza reduced.
See results",Eli Marom,"Hamas (Izzedine Al-Qassam Brigades and paramilitary police): 20,000 (est. total)[18][19]
Other Palestinian paramilitary forces: 10,000[20]

BM-21 Grad and Qassam rockets[21]
AT-3 Sagger, AT-5 Spandrel, and Yasin Anti-tank missiles[21][22][23]
AK-47 assault rifles
RPK light machineguns
Recoilless guns[24]
Heavy machine guns[24]
Mortars of various calibres[21]
Improvised explosive devices and other booby traps[17][25]
Anti-aircraft missiles[26] including SA-7s[24]
Suicide bombers[21][27]","IDF: 4,000[11]–20,000[12] deployed in ground invasion and tens of thousands of reservists mobilized[13] (176,000 total active personnel)[14]

F-16I Sufa aircraft[15]
AH-64 Saraph and AH-1F Tzefa attack helicopters[15]
Elbit Hermes 450, Heron TP Unmanned aerial vehicles[15]
130–140 Merkava tanks[16]
Nagmash, Achzarit, Puma, Namer, and other armored personnel carriers[15]
100 armored CAT D9 and other armored bulldozers[15][17]
Super Dvora patrol boats,[15] and Sa'ar 4.5-class missile boats
Soltam M-71, M109 howitzers, and mortars[15]
B-300, Matador, and Spike, anti-tank missiles[15]
Viper military robots[15]
Tavor and M16 assault rifles, light and heavy machine guns, and semi-automatic sniper rifles[15]",L,V,176000.0,,,,,
9262,Operation Cast Lead,"27 December 2008 – 18 January 2009
(3 weeks and 1 day)",Gaza Strip and Southern Israel,"Israeli military victory[2][3][4][5]

Israel declared unilateral ceasefire, 12 hours later Hamas announced a one-week ceasefire.[6][7]
Humanitarian crisis and deterioration of infrastructure and basic services in Gaza.[8]
Number of rockets being fired from Gaza reduced.
See results",Israeli Navy,"Hamas (Izzedine Al-Qassam Brigades and paramilitary police): 20,000 (est. total)[18][19]
Other Palestinian paramilitary forces: 10,000[20]

BM-21 Grad and Qassam rockets[21]
AT-3 Sagger, AT-5 Spandrel, and Yasin Anti-tank missiles[21][22][23]
AK-47 assault rifles
RPK light machineguns
Recoilless guns[24]
Heavy machine guns[24]
Mortars of various calibres[21]
Improvised explosive devices and other booby traps[17][25]
Anti-aircraft missiles[26] including SA-7s[24]
Suicide bombers[21][27]","IDF: 4,000[11]–20,000[12] deployed in ground invasion and tens of thousands of reservists mobilized[13] (176,000 total active personnel)[14]

F-16I Sufa aircraft[15]
AH-64 Saraph and AH-1F Tzefa attack helicopters[15]
Elbit Hermes 450, Heron TP Unmanned aerial vehicles[15]
130–140 Merkava tanks[16]
Nagmash, Achzarit, Puma, Namer, and other armored personnel carriers[15]
100 armored CAT D9 and other armored bulldozers[15][17]
Super Dvora patrol boats,[15] and Sa'ar 4.5-class missile boats
Soltam M-71, M109 howitzers, and mortars[15]
B-300, Matador, and Spike, anti-tank missiles[15]
Viper military robots[15]
Tavor and M16 assault rifles, light and heavy machine guns, and semi-automatic sniper rifles[15]",L,V,176000.0,,,,,
9263,Operation Cast Lead,"27 December 2008 – 18 January 2009
(3 weeks and 1 day)",Gaza Strip and Southern Israel,"Israeli military victory[2][3][4][5]

Israel declared unilateral ceasefire, 12 hours later Hamas announced a one-week ceasefire.[6][7]
Humanitarian crisis and deterioration of infrastructure and basic services in Gaza.[8]
Number of rockets being fired from Gaza reduced.
See results",Eyal Eizenberg,"Hamas (Izzedine Al-Qassam Brigades and paramilitary police): 20,000 (est. total)[18][19]
Other Palestinian paramilitary forces: 10,000[20]

BM-21 Grad and Qassam rockets[21]
AT-3 Sagger, AT-5 Spandrel, and Yasin Anti-tank missiles[21][22][23]
AK-47 assault rifles
RPK light machineguns
Recoilless guns[24]
Heavy machine guns[24]
Mortars of various calibres[21]
Improvised explosive devices and other booby traps[17][25]
Anti-aircraft missiles[26] including SA-7s[24]
Suicide bombers[21][27]","IDF: 4,000[11]–20,000[12] deployed in ground invasion and tens of thousands of reservists mobilized[13] (176,000 total active personnel)[14]

F-16I Sufa aircraft[15]
AH-64 Saraph and AH-1F Tzefa attack helicopters[15]
Elbit Hermes 450, Heron TP Unmanned aerial vehicles[15]
130–140 Merkava tanks[16]
Nagmash, Achzarit, Puma, Namer, and other armored personnel carriers[15]
100 armored CAT D9 and other armored bulldozers[15][17]
Super Dvora patrol boats,[15] and Sa'ar 4.5-class missile boats
Soltam M-71, M109 howitzers, and mortars[15]
B-300, Matador, and Spike, anti-tank missiles[15]
Viper military robots[15]
Tavor and M16 assault rifles, light and heavy machine guns, and semi-automatic sniper rifles[15]",L,V,176000.0,,,,,
9264,Operation Cast Lead,"27 December 2008 – 18 January 2009
(3 weeks and 1 day)",Gaza Strip and Southern Israel,"Israeli military victory[2][3][4][5]

Israel declared unilateral ceasefire, 12 hours later Hamas announced a one-week ceasefire.[6][7]
Humanitarian crisis and deterioration of infrastructure and basic services in Gaza.[8]
Number of rockets being fired from Gaza reduced.
See results",Gaza Division,"Hamas (Izzedine Al-Qassam Brigades and paramilitary police): 20,000 (est. total)[18][19]
Other Palestinian paramilitary forces: 10,000[20]

BM-21 Grad and Qassam rockets[21]
AT-3 Sagger, AT-5 Spandrel, and Yasin Anti-tank missiles[21][22][23]
AK-47 assault rifles
RPK light machineguns
Recoilless guns[24]
Heavy machine guns[24]
Mortars of various calibres[21]
Improvised explosive devices and other booby traps[17][25]
Anti-aircraft missiles[26] including SA-7s[24]
Suicide bombers[21][27]","IDF: 4,000[11]–20,000[12] deployed in ground invasion and tens of thousands of reservists mobilized[13] (176,000 total active personnel)[14]

F-16I Sufa aircraft[15]
AH-64 Saraph and AH-1F Tzefa attack helicopters[15]
Elbit Hermes 450, Heron TP Unmanned aerial vehicles[15]
130–140 Merkava tanks[16]
Nagmash, Achzarit, Puma, Namer, and other armored personnel carriers[15]
100 armored CAT D9 and other armored bulldozers[15][17]
Super Dvora patrol boats,[15] and Sa'ar 4.5-class missile boats
Soltam M-71, M109 howitzers, and mortars[15]
B-300, Matador, and Spike, anti-tank missiles[15]
Viper military robots[15]
Tavor and M16 assault rifles, light and heavy machine guns, and semi-automatic sniper rifles[15]",L,V,176000.0,,,,,
9265,Operation Cast Lead,"27 December 2008 – 18 January 2009
(3 weeks and 1 day)",Gaza Strip and Southern Israel,"Israeli military victory[2][3][4][5]

Israel declared unilateral ceasefire, 12 hours later Hamas announced a one-week ceasefire.[6][7]
Humanitarian crisis and deterioration of infrastructure and basic services in Gaza.[8]
Number of rockets being fired from Gaza reduced.
See results",Yuval Diskin,"Hamas (Izzedine Al-Qassam Brigades and paramilitary police): 20,000 (est. total)[18][19]
Other Palestinian paramilitary forces: 10,000[20]

BM-21 Grad and Qassam rockets[21]
AT-3 Sagger, AT-5 Spandrel, and Yasin Anti-tank missiles[21][22][23]
AK-47 assault rifles
RPK light machineguns
Recoilless guns[24]
Heavy machine guns[24]
Mortars of various calibres[21]
Improvised explosive devices and other booby traps[17][25]
Anti-aircraft missiles[26] including SA-7s[24]
Suicide bombers[21][27]","IDF: 4,000[11]–20,000[12] deployed in ground invasion and tens of thousands of reservists mobilized[13] (176,000 total active personnel)[14]

F-16I Sufa aircraft[15]
AH-64 Saraph and AH-1F Tzefa attack helicopters[15]
Elbit Hermes 450, Heron TP Unmanned aerial vehicles[15]
130–140 Merkava tanks[16]
Nagmash, Achzarit, Puma, Namer, and other armored personnel carriers[15]
100 armored CAT D9 and other armored bulldozers[15][17]
Super Dvora patrol boats,[15] and Sa'ar 4.5-class missile boats
Soltam M-71, M109 howitzers, and mortars[15]
B-300, Matador, and Spike, anti-tank missiles[15]
Viper military robots[15]
Tavor and M16 assault rifles, light and heavy machine guns, and semi-automatic sniper rifles[15]",L,V,176000.0,,,,,
