Battle,Date,belligerent,own,pos,VorD,Infantry,Cavalry,Artillery,Ships,Airforce,Special
Sand_Creek_Massacre,"November 29, 1864",Black Kettle,70–200,R,,,,,,,
Sanna's_Post,31-Mar-00,Christiaan de Wet,"400   (1,600 distantly engaged)",R,V,,,,,,
Sanna's_Post,31-Mar-00,Robert George Broadwood,"2,000   12 guns",L,D,,,,,,
Second Battle of Athenry,10 August 1316,Fedlim Ó Conchobair,Some few thousands,L,D,,,,,,
Second Battle of Athenry,10 August 1316,Rickard de Bermingham,"Believed to be over 1,100",R,V,,,,,,
Second Battle of Fallujah,"7 November – 23 December 2004[2]
(1 month, 2 weeks and 2 days)",Keith J. Stalder,"10,500 troops[3]    2,000 security forces[3]    850 troops[4]   Total: 13,350 troops",L,V,,,,,,
Second Battle of Fallujah,"7 November – 23 December 2004[2]
(1 month, 2 weeks and 2 days)",Abdullah al-Janabi,"≈3,700–4,000 insurgents[5][6]",R,D,,,,,,
Second Battle of Herdonia,210 BC,Hannibal,"approximately 25,000",L,V,,,,,,
Second Battle of Herdonia,210 BC,Gnaeus Fulvius Centumalus Maximus,"less than 20,000",R,D,,,,,,
Second Battle of Homs,29 October 1281,"Leo II, King of Armenia","80,000 (contemporary sources; most likely exaggerated)",L,D,,,,,,
Second Battle of St Albans,17 February 1461,Margaret of Anjou,"~15,000",L,V,,,,,,
Second Battle of Swat,"16 May – 15 July 2009
(1 month, 4 weeks and 1 day)",Abu Saeed (TNSM Commander),"2,500 (approx.)",R,D,,,,,,
Second Battle of Swat,"16 May – 15 July 2009
(1 month, 4 weeks and 1 day)",Muhammad Haroon Aslam,"15,000 - 45,000 Regular, Infantry, FC Corps and Airborne Forces",L,V,,,,,,
Second Battle of Tapae,September 101,Trajan,"Total:9-11 Legions (70,000-80,000 (including auxiliaries)[1]   7 professional legions, 2-4 mixed legions[citation needed]",R,V,,,,,,
Second Battle of Tapae,September 101,Decebalus,Unknown for the battle. (possibly 20.000-30.000),L,D,,,,,,
Second Battle of Zawiya,13–20 August 2011,Ismail al-Sallabi,600 fighters[5],L,V,,,,,,
Second Battle of Zawiya,13–20 August 2011,Mahdi al-Arabi,"Munawaba Brigade[4]   1,000 conscripts",R,D,,,,,,
Second_Battle_of_Adobe_Walls,"June 27, 1874",Guipago,~700 warriors[1]:208,R,D,,,,,,
Second_Battle_of_Al_Faw,17-Apr-88,Adnan Khairallah,"~100,000 Republican Guard soldiers[3]",L,V,,,,,,
Second_Battle_of_Al_Faw,17-Apr-88,Akbar Hashemi Rafsanjani,"8,000-15,000 Basij militia[3]",R,D,,,,,,
Second_Battle_of_Algeciras,12–13 July 1801,"James Saumarez, 1st Baron de Saumarez","6 ships of the line, 2 frigates",L,V,,,,,,
Second_Battle_of_Algeciras,12–13 July 1801,Charles-Alexandre Léon Durand Linois,9 ships of the line and 3 frigates,R,D,,,,,,
Second_Battle_of_Corinth,"October 3–4, 1862",William Rosecrans,"c. 23,000[1]",L,V,,,,,,
Second_Battle_of_Corinth,"October 3–4, 1862",Sterling Price,"c. 22,000[1]",R,D,,,,,,
Second_Battle_of_El_Alamein,23 October–11 November 1942,Ettore Bastico,"116,000 men[1][a]   547 tanks[b]   192 armoured cars[2]   770[4] – 900 aircraft (480 serviceable)[c]   552 artillery pieces[6]   496 anti-tank guns[d] – 1,063[6]",L,D,,,,,,
Second_Battle_of_El_Alamein,23 October–11 November 1942,Bernard Montgomery,"195,000 men[2]   1,029 tanks[e]   435 armoured cars[2]   730[f] – 750 aircraft (530 serviceable)[g]   892[6] – 908 artillery pieces[2]   1,451 anti-tank guns[2][h]",R,V,,,,,,
Second_Battle_of_Fort_Fisher,"January 13–15, 1865",Robert Hoke,"1,900 (Fort Fisher)   6,400 (Hoke's Division)",R,D,,,,,,
Second_Battle_of_Fort_Fisher,"January 13–15, 1865",David Dixon Porter,"Army: 9,632[4]   Navy: 58 ships; 2,261 (sailors/marines)[5]",L,V,,,,,,
Second_Battle_of_Fort_Sumter,"September 7, 1863 (1863-09-07) – September 8, 1863 (1863-09-08)",Quincy Adams Gillmore,413 [1],L,D,,,,,,
Second_Battle_of_Fort_Sumter,"September 7, 1863 (1863-09-07) – September 8, 1863 (1863-09-08)",P. G. T. Beauregard,320,R,V,,,,,,
Second_Battle_of_Guararapes,19 February 1649,Colonel Van Den Brinck,"3,500[3]",L,D,,,,,,
Second_Battle_of_Guararapes,19 February 1649,Henrique Dias,"2,600[4]",R,V,,,,,,
Second_Battle_of_Heligoland_Bight,17-Nov-17,Ludwig von Reuter,2 battleships   4 light cruisers   8 destroyers   14 minesweepers,R,I,,,,,,
Second_Battle_of_Heligoland_Bight,17-Nov-17,William Pakenham (Royal Navy officer),1 battlecruiser   2 large light cruisers   8 light cruisers   10 destroyers,L,I,,,,,,
Second_Battle_of_Kharkov,12–28 May 1942 (16 days),Semyon Timoshenko,"765,300 men[1]   1,176 tanks   300 self-propelled cannons.[2]   926 aircraft[3]",R,D,,,,,,
Second_Battle_of_Kharkov,12–28 May 1942 (16 days),Kurt Pflugbeil,"350,000 men   1,000 tanks   ~700 aircraft",L,V,,,,,,
Second_Battle_of_Krithia,6–8 May 1915,Aylmer Hunter-Weston,"25,000[citation needed]   72 guns",L,D,,,,,,
Second_Battle_of_Kut,23-Feb-17,Kâzım Karabekir,"17,000[1]",R,D,,,,,,
Second_Battle_of_Mount_Hermon,8-Oct-73,Ahmed Rifai al-Joju,"1 paratroop battalion (~400 soldiers), 1 commando battalion",R,V,,,,,,
Second_Battle_of_Mount_Hermon,8-Oct-73,Amir Drori,"2 infantry battalions, 2 tanks",L,D,,,,,,
Second_Battle_of_Newbury,27 October 1644,"Edward Montagu, 2nd Earl of Manchester","19,000   7,000 cavalry   12,000 infantry",L,I,,,,,,
Second_Battle_of_Newbury,27 October 1644,Maurice of the Palatinate,"8,500   3,500 cavalry   5,000 infantry",R,I,,,,,,
Second_Battle_of_Petersburg,"June 15, 1864 (1864-06-15) – June 18, 1864 (1864-06-18)",George Meade,"13,700–62,000 (reinforcements arrived over four days)[2]",L,D,,,,,,
Second_Battle_of_Petersburg,"June 15, 1864 (1864-06-15) – June 18, 1864 (1864-06-18)",P. G. T. Beauregard,"5,400–38,000[2]",R,V,,,,,,
Second_Battle_of_Polotsk,18–20 October 1812,Laurent de Gouvion Saint-Cyr,"23,000-27,000",R,D,,,,,,
Second_Battle_of_Polotsk,18–20 October 1812,Peter Wittgenstein,"31,000 regular troops,   9,000 militia,   9,000 regular troops operating independently;   Total of: 49,000",L,V,,,,,,
Second_Battle_of_Porto,12 May 1809,Jean-de-Dieu Soult,"11,200",L,D,,,,,,
Second_Battle_of_Porto,12 May 1809,"Arthur Wellesley, 1st Duke of Wellington","18,400[2]",R,V,,,,,,
Second_Battle_of_Ream's_Station,"August 25, 1864 (1864-08-25)",A. P. Hill,"8–10,000[2]",R,V,,,,,,
Second_Battle_of_Sabine_Pass,"September 8, 1863 (1863-09-08)",Frederick Crocker,"5,000 infantry   4 gunboats   18 transports",L,D,,,,,,
Second_Battle_of_Sabine_Pass,"September 8, 1863 (1863-09-08)",Richard W. Dowling,36 infantry   6 artillery pieces   1 fort,R,V,,,,,,
Second_Battle_of_Sacket's_Harbor,28 May – 29 May 1813,George Prévost,"Land:   ~870 infantry,   2 field guns   Sea:   3 sloops-of-war   2 brigs-of-war   1 schooner",R,D,,,,,,
Second_Battle_of_Sacket's_Harbor,28 May – 29 May 1813,Jacob Brown,"Land:   ~500 regulars,   ~900 militia,   2 field guns,   2 forts   Sea:   2 schooners   Total: 1,400",L,V,,,,,,
Second_Battle_of_Sirte,22-Mar-42,Philip Vian,4 light cruisers   1 anti-aircraft cruiser   18 destroyers   1 submarine,L,V,,,,,,
Second_Battle_of_Sirte,22-Mar-42,Angelo Iachino,1 battleship   2 heavy cruisers   1 light cruiser   10 destroyers   1 submarine,R,D,,,,,,
Second_Battle_of_Tabasco,"June 15–16, 1847",David Dixon Porter,"8 vessels   1,050 U.S. Marines[1]:340   7 field artillery pieces",L,V,,,,,,
Second_Battle_of_Tembien,27 February to 29 February 1936,Seyoum Mengesha,"Approximately 40,000",R,D,,,,,,
Second_Battle_of_Tembien,27 February to 29 February 1936,Pietro Badoglio,"Approximately 70,000, With Approx. 50,000 in reserve",L,V,,,,,,
Second_Battle_of_Trenton,"January 2, 1777","Charles Cornwallis, 1st Marquess Cornwallis","5,000[3]   28 guns[2]",R,D,,,,,,
Second_Battle_of_Trenton,"January 2, 1777",George Washington,"6,000   40 guns[2]",L,V,,,,,,
Second_Battle_of_Tripoli_Harbor,14 July 1804,Edward Preble,"1 frigate,   3 brigs,   3 schooners,   2 bomb vessels,   10 gunboats,   1 ketch   Unknown number of marines and sailors",L,D,,,,,,
Second_Battle_of_Tripoli_Harbor,14 July 1804,Yusuf Karamanli,"1 brig,   2 schooners,   2 galleys,   19 gunboats,   115 shore batteries",R,V,,,,,,
Second_Battle_of_Tucson,"May 1, 1782",Pedro Allande y Saabedra,62 cavalry   10 native scouts   ~1 artillery   1 fort,L,V,,,,,,
Second_Battle_of_Ypres,22 April – 25 May 1915,Théophile Figeys,2 French and 6 British divisions,L,I,,,,,,
Second_Battle_of_Zurich,25–26 September 1799,Alexander Korsakov,"44,000 Russians   32,000 Austrians",R,D,,,,,,
Second_Battle_of_the_Isonzo,18 July – 3 August 1915,Svetozar Boroević,"78,000[1]",R,D,,,,,,
Second_Battle_of_the_Isonzo,18 July – 3 August 1915,Luigi Cadorna,"250,000[1]",L,V,,,,,,
Second_Battle_of_the_Marne,15 July – 6 August 1918,Henri Gouraud (general),44 French divisions   8 American divisions   4 British divisions   2 Italian divisions   408 heavy guns   360 field batteries   346 tanks,L,V,,,,,,
Second_Battle_of_the_Marne,15 July – 6 August 1918,Karl von Einem,"52 divisions   609 heavy guns   1,047 field batteries",R,D,,,,,,
Second_Battle_of_the_Masurian_Lakes,7–22 February 1915,Erich Ludendorff,"Initially 100,000 men",L,V,,,,,,
Second_Battle_of_the_Masurian_Lakes,7–22 February 1915,Nikolai Ruzsky,"Initially 220,000 men",R,D,,,,,,
Second_Kashmir_War,August – 23 September 1965,Commodore (rank),"260,000 Infantry[1]   280 aircraft[2]   756 Tanks[3]      352 Pattons[3]   308 Shermans[3]   96 Chaffees[3]      552 Artillery[3]      72x105mm How[3]   234X25pdr[3]   126x155mm How[3]   48x8"" How[3]   72x3.7"" How[3]   POK Lt Btys[3]",R,I,,,,,,
Second_Kashmir_War,August – 23 September 1965,Southern Command (India),"700,000 Infantry[1]   700+ aircraft[2]   720 Tanks[1]      186 Centurions[3]   346 Shermans[1]   90 AMX[1][3]   90 PT-76[1]      628 Artillery[3]      66x 3.7""How[3]   450x 25pdr[3]   96x 5.5""[3]   16x 7.2""[3]",L,I,,,,,,
Sherman's_March_to_the_Sea,"November 15 – December 21, 1864",William Tecumseh Sherman,"59,545–62,204[2]",L,V,,,,,,
Sherman's_March_to_the_Sea,"November 15 – December 21, 1864",Joseph Wheeler,"12,466[3]",R,D,,,,,,
Siege of Acre (1189–1191),August 1189 – July 1191,"Frederick VI, Duke of Swabia","Initially: 3,000 men   Later:~25,000 men   11 trebuchets",L,V,,,,,,
Siege of Acre (1189–1191),August 1189 – July 1191,Saladin,"unknown      Garrison: 6,000   Relief force: 20,000+",R,D,,,,,,
Siege of Acre (1291),4 April – 18 May 1291,Al-Ashraf Khalil,"220,000[2]",L,V,,,,,,
Siege of Acre (1291),4 April – 18 May 1291,"Amalric, Lord of Tyre","17,000 infantry,   1,100 cavalry",R,D,,,,,,
Siege of Akragas (406 BC),406 BC,Hannibal Mago,"120,000 (Ancient sources), 120 Triremes",R,V,,,,,,
Siege of Alexandria (47 BC),Late 48 BC – early or mid 47 BC,Ptolemy XIII Theos Philopator,"Reportedly 20,000 and 2,000 horse",R,D,,,,,,
Siege of Alexandria (47 BC),Late 48 BC – early or mid 47 BC,Julius Caesar,1 legion (Legio VI Ferrata),L,V,,,,,,
Siege of Alkmaar,August 21 - October 8 1573,"Fadrique Álvarez de Toledo, 4th Duke of Alba","6,500 to 16,000 troops",R,D,,,,,,
Siege of Ansi fortress,20 June–18 September 645,Yang Manchun,"100,000 soldiers including civilians",L,V,,,,,,
Siege of Antioch,21 October 1097 – 3 June 1098,"Stephen, Count of Blois","Crusaders:   ~40,000 total at the start of the siege (includes non-combatants)   ~20,000 during the second siege against Kerbogha[1]   Byzantines:   2,000 peltasts (withdrew in February 1098)",L,V,,,,,,
Siege of Antioch,21 October 1097 – 3 June 1098,Kerbogha,"Antioch garrison:   5000[2]   Duqaq's relief force: ~10,000[3]   Radwan's relief force: ~12,000[4]   Kerbogha's relief force: ~35,000[5]",R,D,,,,,,
Siege of Athens and Piraeus (87 BC - 86 BC),"Autumn 87 BC - 1 March 86 BC (Athens), Spring 86 BC (Piraeus)",Sulla,"5 Roman Legions   20,000 Auxiliary[1]",L,V,,,,,,
Siege of Bari,5 August 1068 – 15 April 1071,Robert Guiscard,"Norman army and fleet, unknown size",R,V,,,,,,
Siege of Bari,5 August 1068 – 15 April 1071,Michael Maurex,"Bari garrison, other Byzantine reinforcements and 20 ships",L,D,,,,,,
Siege of Belgrade (1456),"July 4–22, 1456",John Hunyadi,"About 4,000 well-armed and effective troops[1]   A motley army of some 60,000 (mostly crusader peasants and citizens of Belgrade)[2]   200 boats[3]",L,V,,,,,,
Siege of Belgrade (1456),"July 4–22, 1456",Zagan Pasha,"30,000;[4] higher estimates of 100,000[5][6]   200 vessels[7]",R,D,,,,,,
Siege of Berat (1280–1281),1280–1281,Hugh of Sully,"8,000 men",R,D,,,,,,
Siege of Busan,"May 24–25, 1592 (Gregorian Calendar); April 13–14, 1592 (Lunar calendar)",Sō Yoshitoshi,"at least 15,000 men",L,V,,,,,,
Siege of Busan,"May 24–25, 1592 (Gregorian Calendar); April 13–14, 1592 (Lunar calendar)",Pak Hong,"4000–8000 defenders According to Louis Frois, 600 soldiers",R,D,,,,,,
Siege of Calais (1346),4 September 1346 –3 August 1347,Jean de Vienne,"7 - 8,000 citizens",R,D,,,,,,
Siege of Calais (1346),4 September 1346 –3 August 1347,Edward III of England,"52,500:[1][2][3]      5,300 men-at-arms   6,600 infantry   20,000 longbowmen   5,000 mounted archers   600 hobelars   20 ribaldequin   15,000 sailors   736 ships",L,V,,,,,,
Siege of Chartres (1568),28 February to 15 March 1568,"Louis, Prince of Condé (1530–1569)","Probably 9,000[1]",L,D,,,,,,
Siege of Chartres (1568),28 February to 15 March 1568,Nicolas des Essars,"Some 6,000 (plus townspeople)[1]",R,V,,,,,,
Siege of Chencang,December 228 – Spring of 229 CE,Hao Zhao,"~1,000",L,V,,,,,,
Siege of Chittorgarh,23 October 1567 - 23 February 1568,Ghazi Khan,"80,000 men   80 cannons   95 swivel guns   800 matchlocks   5,000 war elephants",L,V,,,,,,
Siege of Concepción,"February 1 - April 1, 1564[1]",Pedro de Villagra,"200 soldiers, 6 cannon and citizens and indios amigos of Concepcion.",L,V,,,,,,
Siege of Concepción,"February 1 - April 1, 1564[1]",Millalelmo,"20,000 warriors",R,D,,,,,,
Siege of Constantinople (626),June–July 626,Kardarigan (7th century),"80,000 Avars and Slavs,   Persian allies",R,D,,,,,,
Siege of Cuzco,,Hernando Pizarro,"30,000 Indios auxiliares   190 Spaniards   Later +300 Spaniards under F. Pizarro[1]",L,V,,,,,,
Siege of Cuzco,,Rodrigo Orgóñez,700 Spaniards (as for early 1537),R,V,,,,,,
Siege of Eger,1552,Kara Ahmed Pasha,"In reality 35-40,000 men[1][2] (Gárdonyi's data: 150,000 and 200,000[3] is romantic exaggeration)",L,D,,,,,,
Siege of Eger,1552,István Dobó,"Approx 2,100-2,300[4]",R,V,,,,,,
Siege of Eretria,490 BC,Artaphernes (son of Artaphernes),"Ancient sources: 100,000-300,000 men, 10,000 Persian Immortals, 600 ships   c. 25,000 men (modern consensus)",R,V,,,,,,
Siege of Famagusta,17 September 1570 – 5 August 1571,Marco Antonio Bragadin,"8,500[1]",L,D,,,,,,
Siege of Famagusta,17 September 1570 – 5 August 1571,Lala Mustafa Pasha,"more than 200,000[1]",R,V,,,,,,
Siege of Fukashi,1550,Takeda Shingen,3200,L,V,,,,,,
Siege of Fukashi,1550,Ogasawara Nagatoki,4000,R,D,,,,,,
Siege of Fukuyo,1542,Takeda Shingen,5000,R,V,,,,,,
Siege of Gaza,"October, 332 BC",Batis (commander),"15,000 [1]",R,D,,,,,,
Siege of Haarlem,1572–1573,William the Silent,"2,550 infantry and 225 cavalry (Haarlem)   5,000 soldiers   (William the Silent)",L,D,,,,,,
Siege of Haarlem,1572–1573,"Fadrique Álvarez de Toledo, 4th Duke of Alba","17,000–18,000 troops [1]",R,V,,,,,,
Siege of Hachigata 1568,1568,Hōjō Ujikuni,6800,L,V,,,,,,
Siege of Ichijo ga dani,1573,Oda Nobunaga,10000,L,V,,,,,,
Siege of Inabayama Castle,13–27 September 1567,Oda Nobunaga,"13,000+",L,V,,,,,,
Siege of Inabayama Castle,13–27 September 1567,Saitō Tatsuoki,Castle garrison,R,D,,,,,,
Siege of Ishiyama Honganji,August 1570 – August 1580,Shimozuma Rairen,"at least 15,000",R,D,,,,,,
Siege of Ishiyama Honganji,August 1570 – August 1580,Sakuma Nobumori,"at least 30,000",L,V,,,,,,
Siege of Jerusalem (1099),"June 7 – July 15, 1099",Godfrey of Bouillon,"1,200-1,300 Knights   11,000-12,000 Infantry   [2][6][4]",L,V,,,,,,
Siege of Jerusalem (1099),"June 7 – July 15, 1099",Iftikhar al-Dawla,Sizeable Garrison[7]   400 Elite Cavalrymen[4][8],R,D,,,,,,
Siege of Jerusalem (1187),20 September to 2 October 1187,Saladin,"Unknown, the army primarily made up of the surviving army from the Battle of Hattin and reinforcements gathered from Syria and Egypt.      likely strength around 20,000 men",R,V,,,,,,
Siege of Jerusalem (1187),20 September to 2 October 1187,Patriarch Heraclius of Jerusalem,"Unknown, 60 impromptu Ibelin knights, plus the city watch of men-at-arms, archers and people recruited into the city's defence      likely strength around 4,000-6,000 men",L,D,,,,,,
Siege of Jerusalem (614),April–May 614 CE (per Sebeos and Antiochus),Zacharias of Jerusalem,Byzantine Empire      Christian rebels,L,D,,,,,,
Siege of Jerusalem (614),April–May 614 CE (per Sebeos and Antiochus),Nehemiah ben Hushiel,"Sasanian Empire      Persian forces   20,000 or 26,000 Jewish rebels[1]",R,V,,,,,,
Siege of Jerusalem (70),,Simon bar Giora,"20,000–30,000",R,,,,,,,
Siege of Jicheng,213 CE,Wei Kang,"1,000[1]",R,D,,,,,,
Siege of Jinju (1592),"October 5–10, 1592",Yu Sung-in,"3,800 Jinju army   2,500 Righteous armies",R,V,,,,,,
Siege of Jinju (1592),"October 5–10, 1592",Hosokawa Tadaoki,"20,000 - 30,000 soldiers",L,D,,,,,,
Siege of Jinju (1593),July 1593,Hwang Jin,"soldiers 3,000   militias 3,000   civilians 50,000",R,D,,,,,,
Siege of Kanbara,1569,Hōjō Tsunashige,1000,R,D,,,,,,
Siege of Kanegasaki (1570),1570,Azai Nagamasa,"24,500",R,D,,,,,,
Siege of Katsurao,1553,Takeda Shingen,4200,L,V,,,,,,
Siege of Kazan (1552),"September 2, 1552 – October 13, 1552",Yadegar Mokhammad of Kazan,"33,000 men2-   50,000, including civilians3   unknown cannons",R,D,,,,,,
Siege of Kazan (1552),"September 2, 1552 – October 13, 1552",Ivan the Terrible,"150,000 men,   150 cannons   unknown battleship   some siege towers",L,V,,,,,,
Siege of Kerak,1183,Saladin,"22,000 men",R,I,,,,,,
Siege of Kerak,1183,Baldwin IV of Jerusalem,"8,000 men",L,I,,,,,,
Siege of Kojinyama,1544,Tozawa Yorichika,2000,R,D,,,,,,
Siege of Kotte (1557–58),November 1557 – November 1558,Diogo de Melo Coutinho,"480 Portuguese,   At least 9,000 Lascarins   12 fustas   Unknown number of reinforcements from Mannar[2][3]",R,V,,,,,,
Siege of Kotte (1557–58),November 1557 – November 1558,Kingdom of Sitawaka,"50,000 Sitawaka men[1]",L,D,,,,,,
Siege of Kuwabara,1542,Suwa Yorishige,1100,L,D,,,,,,
Siege of La Rochelle (1572–73),November 1572 - July 1573,Henry III of France,"Siege army: 28,000.",L,I,,,,,,
Siege of Lisbon,"July 1 – October 25, 1147",Christian of Ghistelles,"20,000      7,000 Portuguese   6,000 English   5,000 Germans   2,000 Flemings[1]",L,V,,,,,,
Siege of Maastricht,13–30 June 1673,"Jacques de Fariaux, baron de Maulde","5,000 infantry   1,200 cavalry",R,D,,,,,,
Siege of Maastricht,13–30 June 1673,Sébastien Le Prestre de Vauban,"24,000 infantry   16,000 cavalry   58 guns",L,V,,,,,,
Siege of Malacca (1568),1568,Alaal-Din,15.000 men[1]   400 Ottoman gunners[1]   300 ships[1]   200 cannons[1],R,D,,,,,,
Siege of Malta (1565),"18 May – 11 September 1565
(3 months, 3 weeks and 3 days)",Piali Pasha,15000/16000-40000,L,D,,,,,,
Siege of Malta (1565),"18 May – 11 September 1565
(3 months, 3 weeks and 3 days)",Melchior de Robles,6100 (9000 with civilian help),R,V,,,,,,
Siege of Massilia,"April 19-September 6, 49 BC",Trebonius,"15,000 - 3 Roman legions (XVII, XVIII, and XIX)",R,V,,,,,,
Siege of Moji,1561,Usuki Akihaya,3 Portuguese ships,L,D,,,,,,
Siege of Mons (1572),23 June – 19 September 1572,Julian Romero,"8,500[11]   36 cannons",R,V,,,,,,
Siege of Mons (1572),23 June – 19 September 1572,William the Silent,"Louis of Nassau:   6,000–6,500 men[8]   Adrien de Hangest:   10,000 men[9]   William of Orange:   14,000 infantry and 3,000 cavalry[10]",L,D,,,,,,
Siege of Motya,"Summer, 398 BC",Leptines of Syracuse,"80,000 infantry, 3,000 cavalry, 200 ships, 500 transports",L,V,,,,,,
Siege of Motya,"Summer, 398 BC",Himilco (general),"100,000, 100 triremes",R,D,,,,,,
Siege of Namwon,August 12–15 1597,Kuroda Nagamasa,around 56800,L,V,,,,,,
Siege of Namwon,August 12–15 1597,Yi Bok-nam,"Korea:   7,000 men   5,000+ civilians   Ming:   3,000 men",R,D,,,,,,
Siege of Nara,1180,Taira no Shigehira,500 samurai[1],L,V,,,,,,
Siege of Naxos (499 BC),499 BC,Megabates,"c.8,000 marines,   200 ships",R,D,,,,,,
Siege of Nicaea,"May 14, 1097 – June 19, 1097",Kilij Arslan I,"~ 10,000 [3]   + Nicaean garrison",R,D,,,,,,
Siege of Nicaea,"May 14, 1097 – June 19, 1097",Manuel Boutoumites,"Crusaders:   ~ 30,000 infantry   ~ 4,200-4,500 cavalry [1]   Byzantines:   2,000 peltasts [2]",L,V,,,,,,
Siege of Nice,6–22 August 1543[1],Hayreddin Barbarossa,"100 galleys    30,000 soldiers    50 galleys",R,V,,,,,,
Siege of Numantia,"134 – 133 BC, lasting either eight or sixteen months",Scipio Aemilianus,"20,000 legionaries   40,000 allies and mercenaries",L,V,,,,,,
Siege of Odawara (1561),1561,Nagano Narimasa,"90,000-113,000",L,D,,,,,,
Siege of Odawara (1569),1569,Takeda Shingen,50000,L,V,,,,,,
Siege of Odawara (1569),1569,Hōjō Ujiyasu,15000,R,D,,,,,,
Siege of Odawara (1590),"May - August 4, 1590",Maeda Toshiie,"Army of the Tōkaidō:170,000   Army of the Tōsandō:35,000   Navy:10,000–20,630   220,000 total",L,V,,,,,,
Siege of Odawara (1590),"May - August 4, 1590",Hōjō Ujimasa,"82,000",R,D,,,,,,
Siege of Orléans,"12 October 1428 – 8 May 1429
(6 months, 3 weeks and 5 days)",La Hire,"6,400 soldiers, 3,000 armed citizens[1]",R,V,,,,,,
Siege of Padua,15–30 September 1509,"Maximilian I, Holy Roman Emperor","40,000,   120–200 cannon",L,D,,,,,,
Siege of Perpignan (1542),1542,Henry II of France,"40,000 men[1][2]",L,D,,,,,,
Siege of Pyongyang (1592),"June 14, July 17, August 1, 1592",Konishi Yukinaga,"18,700",L,V,,,,,,
Siege of Pyongyang (1592),"June 14, July 17, August 1, 1592",Tian Cong,"June: 4,000   July: 6,000   August: 20,000",R,D,,,,,,
Siege of Ranthambore,"February 8, 1568 - March 21, 1568",Abu'l-Hasan Asaf Khan,"70,000 men   96 cannons   50 swivel guns   900 Matchlocks   4000 War elephants",L,V,,,,,,
Siege of Rhodes (1480),1480,Mesih Pasha,"70,000 men[1]   100[2] or 160 ships[1] probably between 10,000 and 15,000 men[3]   not more than 20,000[4]   3,000 janissaries[2]",L,D,,,,,,
Siege of Rhodes (1480),1480,Pierre d'Aubusson,"500+ knights   2,000+ soldiers   probably numbered about 3,500 men[3] or 300+ knights 300 sergeants, 3,000-4,000 soldiers.[2]",R,V,,,,,,
Siege of Rhodes (1522),26 June – 22 December 1522,Philippe Villiers de L'Isle-Adam,"7,500 men      700 knights   500 archers",R,D,,,,,,
Siege of Rhodes (1522),26 June – 22 December 1522,Çoban Mustafa Pasha,"200,000 men[2]   400 ships[2]",L,V,,,,,,
Siege of Rhodes (305 BC),305–304 BC,Ares (General),"11,200",R,D,,,,,,
Siege of Rome (537-538),March 537– March 538 AD,Vitiges,"~45,000 men",R,D,,,,,,
Siege of Rome (537-538),March 537– March 538 AD,Belisarius,"5,000 men   5,600 reinforcements   unknown number of conscripts",L,V,,,,,,
Siege of Ryūgasaki,1545,Takeda Shingen,3200,R,V,,,,,,
Siege of Ryūgasaki,1545,Yoshinaga Mitoyoshi,2500,L,D,,,,,,
Siege of Saguntum,219 BC,Hannibal,"29,000",L,V,,,,,,
Siege of Shimoda,May - August 1590,Katō Yoshiaki,"14,000 men",L,V,,,,,,
Siege of Shkodra (1474),Spring 1474 — 8 August 1474,Antonio Loredan,25,R,V,,,,,,
Siege of Syracuse (214–212 BC),214–212 BC,Marcus Claudius Marcellus,"18,000 Infantry 2,000 cavalry",L,V,,,,,,
Siege of Syracuse (397 BC),Summer of 397 BC to summer of 396 BC,Mago II of Carthage,"50,000 troops   40 quinqueremes   200 triremes   2,000 transports",R,D,,,,,,
Siege of Syracuse (397 BC),Summer of 397 BC to summer of 396 BC,Leptines of Syracuse,"30,000 troops   80 quinqueremes   30 triremes",L,V,,,,,,
Siege of Takatō (1545),1545,Takato Yoritsugu,5100,R,D,,,,,,
Siege of Temesvár (1552),1552,István Losonci,30.000+,R,D,,,,,,
Siege of Trebizond (1461),14 September 1460 -15 August 1461[1],Mahmud Pasha Angelović,"60,000 cavalry,   80,000 infantry",L,V,,,,,,
Siege of Tripoli (1551),15 August 1551,Gaspard de Vallier,30–200 knights   630 mercenaries,L,D,,,,,,
Siege of Tripoli (1551),15 August 1551,Sinan Pasha (Ottoman admiral),"About 10,000[citation needed]",R,V,,,,,,
Siege of Ulsan,"December 23, 1597 to January 4, 1598 (Chinese Calendar)",Katō Kiyomasa,"Ulsan castle: 10,000[3][4]   Reinforcements: 13,000[5]",R,V,,,,,,
Siege of Ulsan,"December 23, 1597 to January 4, 1598 (Chinese Calendar)",Kwon Yul,"Korea: 11,500   China: 44,000[2]",L,D,,,,,,
Siege of Vienna,27 September–15 October 1529[1],"Nicholas, Count of Salm","c. 17,000–21,000[2]",L,V,,,,,,
Siege of Vienna,27 September–15 October 1529[1],Suleiman the Magnificent,"c. 120,000–125,000, some sources claiming 300,000[3]",R,D,,,,,,
Siege of Yodfat,Summer 67 AD,Josephus,"~42,000, including non-combatants.",L,D,,,,,,
Siege of Yodfat,Summer 67 AD,Vespasian,"60,000, including 3 Legions, auxiliaries and allies.",R,V,,,,,,
Siege_of_'s-Hertogenbosch,30 April 1629 – 14 September 1629,"Frederick Henry, Prince of Orange",24000 infantry 4000 cavalry   116 cannons,R,V,,,,,,
Siege_of_'s-Hertogenbosch,30 April 1629 – 14 September 1629,Anthonie II Schetz,3000 infantry   4000 armed civilians,L,D,,,,,,
