,Battle,Date,Location,Result,belligerent,opp,own,pos,Infantry,Cavalry,Artillery,Ships,Airforce,Special,VorD
1100,Battle of Dafei River,670,nearby Qinghai Lake,Tibetan victory,Xue Rengui,"400,000","50,000",R,,,,,,,D
1101,Battle of Ongal,"Summer, 680","The Ongal area probably in Danube delta (present-day Tulcea County, Romania)","Decisive Bulgar victory, formation of Bulgaria",Asparuh of Bulgaria,"""all the themata""[1]50,000[2]",unknown,L,,,,,,,V
1102,Battle of Carthage (698),698,Near Carthage,Umayyad victory,Hasan ibn al-Nu'man,Unknown,"40,000",L,,,,,,,V
1103,Battle of Carthage (698),698,Near Carthage,Umayyad victory,Tiberios III,"40,000",Unknown,R,,,,,,,D
1104,Battle of Anchialus (708),708,Anchialus,Bulgarian victory,Tervel of Bulgaria,Unknown,Unknown,L,,,,,,,V
1105,Battle of Anchialus (708),708,Anchialus,Bulgarian victory,Justinian II,Unknown,Unknown,R,,,,,,,D
1106,Battle of Bolchu,711,"close to Urungu River,
now in Xinjiang Province, China",Turkic (Kutluk) victory,Tonyukuk,"100,000 (?)","20,000",L,,,,,,,V
1107,Battle of Aksu (717),717 AD,Xinjiang Region,Tang Chinese Victory,Tang Jiahui,Unknown,Unknown,L,,,,,,,V
1108,Battle of Covadonga,Summer of 718 or 722,"Picos de Europa near Covadonga, present-day Spain",Decisive Asturian victory,Pelagius of Asturias,"187,000 (medieval estimate)[1]",300,L,,,,,,,V
1109,Battle of Covadonga,Summer of 718 or 722,"Picos de Europa near Covadonga, present-day Spain",Decisive Asturian victory,Munuza,300,"187,000 (medieval estimate)[1]",R,,,,,,,D
1110,Battle of Balanjar (723),730 CE,Balanjar,Arab Muslim victory,Al-Jarrah ibn Abdallah,?,?,R,,,,,,,V
1111,Battle of the Baggage,30 September 737,Upper course of the Oxus river (modern northern Afghanistan),Turgesh victory,Asad ibn Abdallah al-Qasri,"50,000",unknown,L,,,,,,,D
1112,Battle of the Baggage,30 September 737,Upper course of the Oxus river (modern northern Afghanistan),Turgesh victory,Suluk (Turgesh khagan),unknown,"50,000",R,,,,,,,V
1113,Battle of Akroinon,740 AD,"Akroinon, Byzantine Empire (modern day Afyon, Turkey)",Decisive Byzantine victory.,Leo III the Isaurian,"20,000[1][2]",unknown,R,,,,,,,V
1114,Battle of Keramaia,746,"Keramaia, Cyprus",Decisive Byzantine victory,Strategos,30 ships,unknown,L,,,,,,,V
1115,Battle of Zab,"January 25, 750",near the Great Zab,"Decisive Abbasid victory
Collapse and End of the Umayyad Caliphate with rise of the new dynasty the Abbasids",Abdallah ibn Ali,"120,000 or 150,000[2]","35,000[1]",L,,,,,,,V
1117,Battle of Yongqiu,Spring of 756 AD,"Yongqiu, China",Decisive Tang victory,Zhang Xun (Tang dynasty),"40,000","2,000",L,,,,,,,V
1118,Battle of Yongqiu,Spring of 756 AD,"Yongqiu, China",Decisive Tang victory,Linghu Chao,"2,000","40,000",R,,,,,,,D
1119,Battle of Marcellae (756),756,"Markeli, near Karnobat, Bulgaria",Byzantine victory,Vineh of Bulgaria,Unknown,Unknown,L,,,,,,,D
1120,Battle of Marcellae (756),756,"Markeli, near Karnobat, Bulgaria",Byzantine victory,Constantine V,Unknown,Unknown,R,,,,,,,V
1122,Battle of Suiyang,757 AD,"Suiyang, Xingyang","Pyrrhic Yan tactical victory
Decisive Tang strategic victory
Turn of the tide of the rebellion against the Yan Dynasty.",Zhang Xun (Tang dynasty),"150,000","10,000",L,,,,,,,D
1123,Battle of the Rishki Pass,759,Stara Planina,Bulgarian victory,Vineh of Bulgaria,Very large army,Unknown,L,,,,,,,V
1124,Battle of Anchialus (763),30 June 763,"near Pomorie, Bulgaria",Byzantine victory,Telets of Bulgaria,"9,600 cavalrymen &
unknown infantry
800 ships",Unknown,L,,,,,,,D
1125,Battle of Fakhkh,11 June 786 C.E.,Fakhkh near Mecca,Abbasid Victory,Hasan ibn Ali,unknown,unknown,R,,,,,,,D
1126,Battle of Marcellae,792,"Markeli, near Karnobat, Bulgaria",Bulgarian victory,Kardam of Bulgaria,Unknown,Unknown,L,,,,,,,V
1127,Battle of Marcellae,792,"Markeli, near Karnobat, Bulgaria",Bulgarian victory,Constantine VI,Unknown,Unknown,R,,,,,,,D
1128,Siege of Serdica (809),Spring 809,Sofia,Decisive Bulgarian victory,Krum,"6,000",Unknown,L,,,,,,,V
1129,Battle of Kardia,c. 872/3,"off Kardia, in the Gulf of Saros",Byzantine victory,Niketas Ooryphas,"over 50 vessels (27 koumbaria, many lighter galleys)",Unknown,L,,,,,,,V
1130,Battle of Edington,May 878,"Probably Edington, Wiltshire",Decisive West Saxon victory,Alfred the Great,unknown,unknown,L,,,,,,,V
1131,Battle of Edington,May 878,"Probably Edington, Wiltshire",Decisive West Saxon victory,Guthrum,unknown,unknown,R,,,,,,,D
1132,Battle of Cynwit,878,Uncertain,West Saxon victory,"Odda, Ealdorman of Devon",1200,Unknown,L,,,,,,,V
1133,Battle of the Conwy,881,River Conwy,Decisive Welsh victory,Anarawd ap Rhodri,unknown,unknown,L,,,,,,,V
1134,Battle of the Conwy,881,River Conwy,Decisive Welsh victory,"Æthelred, Lord of the Mercians",unknown,unknown,R,,,,,,,D
1135,Battle of Tawahin,5/6 April 885,"Al-Tawahin (Antipatris), near Ramlah[1]",Tulunid victory,Al-Mu'tadid,"70,000","4,000",R,,,,,,,D
1136,Battle of Buttington,893[a],"Buttington, Powys, Wales",Anglo-Saxon victory,"Æthelred, Lord of the Mercians",unknown,unknown,L,,,,,,,V
1137,Battle of Buttington,893[a],"Buttington, Powys, Wales",Anglo-Saxon victory,Hastein,unknown,unknown,R,,,,,,,D
1138,Battle of Bulgarophygon,Summer of 896,"Boulgarophygon, Thrace",Decisive Bulgarian victory,Simeon I of Bulgaria,Unknown,Unknown,L,,,,,,,V
1139,Siege of Dorostolon,971,"Dorostolon (modern Silistra, Bulgaria)",Decisive Byzantine victory,John I Tzimiskes,"50,000 men[3]
(possibly 60,000 men?)[2]","30,000 men[1]
(possibly 40,000 men?)[2]
300 ships[2]",L,,,,,,,V
1140,Siege of Dorostolon,971,"Dorostolon (modern Silistra, Bulgaria)",Decisive Byzantine victory,Sviatoslav I of Kiev,"30,000 men[1]
(possibly 40,000 men?)[2]
300 ships[2]","50,000 men[3]
(possibly 60,000 men?)[2]",R,,,,,,,D
1141,Battle of Hama,29 November 903,"near Hama, Syria","Decisive Abbasid victory; elimination of the Qarmatians from the western Syrian Desert, opening of the way for the reconquest of Tulunid Egypt",Muhammad ibn Sulayman al-Katib,"approx. 4,900 cavalry and 3,000 infantry",unknown,L,,,,,,,V
1142,Battle of Pozsony,4–6 July 907,"Brezalauspurc, modern-day Bratislava, Slovakia or Zalavár (Moosburg) next to Lake Balaton, Hungary[1]",Decisive Hungarian victory,Grand Prince of the Hungarians,"c. 60,000","c. 20,000",R,,,,,,,V
1143,Battle of Brunanburh,937,Great Britain,English victory,Æthelstan,Unknown,Unknown,L,,,,,,,V
1144,Battle of Brunanburh,937,Great Britain,English victory,Olaf Guthfrithson,Unknown,Unknown,R,,,,,,,D
1146,Battle of Bạch Đằng (938),938,"Bạch Đằng River, Vietnam","Decisive Ngô Quyền victory
Tĩnh Hải quân period ended
Ngô Dynasty proclaimed",Ngô Quyền,"100,000+[citation needed]","30,000[citation needed]",L,,,,,,,V
1148,Battle of Bạch Đằng (938),938,"Bạch Đằng River, Vietnam","Decisive Ngô Quyền victory
Tĩnh Hải quân period ended
Ngô Dynasty proclaimed",Liu Yan (emperor),"30,000[citation needed]","100,000+[citation needed]",R,,,,,,,D
1149,Battle of Crotone,"July 14, 982","Capo Colonna, near Crotone, Italy",Kalbid victory,"Otto II, Holy Roman Emperor",Unknown,Unknown,L,,,,,,,D
1150,Battle of Crotone,"July 14, 982","Capo Colonna, near Crotone, Italy",Kalbid victory,Abu al-Qasim (Kalbid),Unknown,Unknown,R,,,,,,,V
1151,Battle of Maldon,10 or 11 August 991,"Maldon, Essex, England",Viking victory,Byrhtnoth,"2,000–4,000 men",Unknown,L,,,,,,,D
1152,Battle of Apamea,19 July 998,"plain of al-Mudiq, near Apamea
35°25′05″N 36°23′53″E﻿ / ﻿35.418°N 36.398°E﻿ / 35.418; 36.398",Fatimid victory,Damian Dalassenos,"10,000 Fatimid troops
1,000 Banu Kilab cavalry",unknown,L,,,,,,,D
1154,Battle of Glenn Mama,30 December 999[1],"Glenn Máma, near Lyons Hill in Ardclough. County Kildare","Decisive Munster-Meath victory;
Occupation of rebel Dublin",Máel Sechnaill mac Domnaill,Unknown,Unknown,L,,,,,,,V
1156,Battle of Glenn Mama,30 December 999[1],"Glenn Máma, near Lyons Hill in Ardclough. County Kildare","Decisive Munster-Meath victory;
Occupation of rebel Dublin",Máel Mórda mac Murchada,Unknown,Unknown,R,,,,,,,D
1157,Battle of Kleidion,"July 29, 1014","Belasitsa Mountains, close to the village of Klyuch, modern Blagoevgrad Province, Bulgaria",Decisive Byzantine victory,Basil II,"Unknown , very large, at least 45,000",Unknown,L,,,,,,,V
1158,Battle of Sasireti,1042,"Sasireti, Kingdom of Georgia",Rebel victory,"Liparit IV, Duke of Kldekari",1000,unknown,R,,,,,,,V
1159,Battle of the Stugna River,26 May 1093,Stugna River near Trepol',Cuman victory,Sviatopolk II of Kiev,unknown,unknown,L,,,,,,,D
1161,Battle of Civetot,21 October 1096,Nikea,"Decisive Seljuk Turks victory.

End of the People's Crusade",Kilij Arslan I,"20,000","5,000",L,,,,,,,V
1162,Battle of Gvozd Mountain,April/May 1097,"Gvozd Mountain, traditionally identified as modern-day Petrova Gora (""Peter's Mountain"") in central Croatia; more recently identified as modern-day Kapela mountain range in south-central Croatia[1][2]",Decisive Hungarian victory; death of Petar Svačić,Petar Svačić,unknown,unknown,L,,,,,,,D
1163,Battle of Gvozd Mountain,April/May 1097,"Gvozd Mountain, traditionally identified as modern-day Petrova Gora (""Peter's Mountain"") in central Croatia; more recently identified as modern-day Kapela mountain range in south-central Croatia[1][2]",Decisive Hungarian victory; death of Petar Svačić,"Coloman, King of Hungary",unknown,unknown,R,,,,,,,V
1164,Battle of Harran,"May 7, 1104","two days away from Harran, in the plain opposite to Raqqa",Decisive Seljuk victory[1],Mosul,"3,000 heavy cavalry
9,000 infantry and archers[2]",Unknown,R,,,,,,,V
1165,Battle of Artah,1105,"Artah, northern Syria",Crusader victory,"Tancred, Prince of Galilee",Unknown,Unknown,L,,,,,,,V
1166,Battle of Artah,1105,"Artah, northern Syria",Crusader victory,Fakhr al-Mulk Radwan,Unknown,Unknown,R,,,,,,,D
1167,Battle of Ramla (1105),27 August 1105,"Ramla
Coordinates: 31°55′29.26″N 34°52′21.75″E﻿ / ﻿31.9247944°N 34.8727083°E﻿ / 31.9247944; 34.8727083",Crusader victory,Baldwin I of Jerusalem,Unknown,Unknown,L,,,,,,,V
1168,Battle of Ramla (1105),27 August 1105,"Ramla
Coordinates: 31°55′29.26″N 34°52′21.75″E﻿ / ﻿31.9247944°N 34.8727083°E﻿ / 31.9247944; 34.8727083",Crusader victory,Al-Afdal Shahanshah,Unknown,Unknown,R,,,,,,,D
1169,Battle of Tinchebray,28 September 1106,"Tinchebray, Normandy",Victory for Henry I of England,"William, Count of Mortain",Unknown,Unknown,L,,,,,,,D
1170,Battle of Tinchebray,28 September 1106,"Tinchebray, Normandy",Victory for Henry I of England,"Robert de Beaumont, 1st Earl of Leicester",Unknown,Unknown,R,,,,,,,V
1172,Battle of Uclés (1108),29 May 1108,Uclés,"Decisive Almoravid victory
Almoravid retake Cuenca, Huete, Ocaña and Uclés",Abu Tahir Tamim ibn Yusuf,"~2,300",">2,300",L,,,,,,,V
1174,Battle of Uclés (1108),29 May 1108,Uclés,"Decisive Almoravid victory
Almoravid retake Cuenca, Huete, Ocaña and Uclés",Sancho Alfónsez,">2,300","~2,300",R,,,,,,,D
1175,Battle of Głogów,"August 24, 1109","Głogów, Kingdom of Poland",Polish victory,Bolesław III Wrymouth,"c. 10,000",unknown,L,,,,,,,V
1176,Battle of Głogów,"August 24, 1109","Głogów, Kingdom of Poland",Polish victory,"Henry V, Holy Roman Emperor",unknown,"c. 10,000",R,,,,,,,D
1179,Battle of Al-Sannabra,"June 28, 1113","Al-Sinnabra, Israel 32°43′4.65″N 35°34′18.71″E﻿ / ﻿32.7179583°N 35.5718639°E﻿ / 32.7179583; 35.5718639",Seljuk victory,Baldwin I of Jerusalem,Unknown,Unknown,L,,,,,,,D
1180,Battle of Al-Sannabra,"June 28, 1113","Al-Sinnabra, Israel 32°43′4.65″N 35°34′18.71″E﻿ / ﻿32.7179583°N 35.5718639°E﻿ / 32.7179583; 35.5718639",Seljuk victory,Mawdud,Unknown,Unknown,R,,,,,,,V
1181,Battle of Sarmin,"September 14, 1115","Sarmin, modern Syria",Crusader victory,Bursuq bin Bursuq,"10,700[1]",Unknown,R,,,,,,,D
1182,Battle of Marj al-Saffar (1126),"January 26, 1126","Marj al-Saffar, Near Damascus, Syria",Crusader tactical success[1],Baldwin II of Jerusalem,Unknown,Unknown,L,,,,,,,V
1183,Battle of Marj al-Saffar (1126),"January 26, 1126","Marj al-Saffar, Near Damascus, Syria",Crusader tactical success[1],Toghtekin,Unknown,Unknown,R,,,,,,,D
1184,Battle of Nocera,24 July 1132,"Nocera Inferiore, southern Italy
40°45′22.68″N 14°38′29.69″E﻿ / ﻿40.7563000°N 14.6415806°E﻿ / 40.7563000; 14.6415806",Defeat of Roger II of Sicily,Roger II of Sicily,Unknown,Unknown,L,,,,,,,D
1185,Battle of Nocera,24 July 1132,"Nocera Inferiore, southern Italy
40°45′22.68″N 14°38′29.69″E﻿ / ﻿40.7563000°N 14.6415806°E﻿ / 40.7563000; 14.6415806",Defeat of Roger II of Sicily,Ranulf II of Alife,Unknown,Unknown,R,,,,,,,V
1186,Siege of Edessa,"November 28 - December 24, 1144","Edessa, County of Edessa (present-day Sanliurfa, Turkey)",Decisive Zengid Turks victory,Hugh (archbishop of Edessa),Unknown,Unknown,L,,,,,,,D
1187,Siege of Edessa,"November 28 - December 24, 1144","Edessa, County of Edessa (present-day Sanliurfa, Turkey)",Decisive Zengid Turks victory,Imad ad-Din Zengi,Unknown,Unknown,R,,,,,,,V
1188,Battle of Dorylaeum (1147),"October 25, 1147",Dorylaeum,Seljuk victory,Mesud I,"20,000 men",unknown,R,,,,,,,V
1190,Siege of Damascus (1148),24–29 July 1148,Damascus,"Muslim victory

Crusader withdrawal
Damascus acquired by Nur ad-Din Zangi.",Baldwin III of Jerusalem,Unknown,"50,000",L,,,,,,,D
1192,Siege of Damascus (1148),24–29 July 1148,Damascus,"Muslim victory

Crusader withdrawal
Damascus acquired by Nur ad-Din Zangi.",Mu'in ad-Din Unur,"50,000",Unknown,R,,,,,,,V
1193,Battle of Harim,12 August 1164,"Harem, Syria",Zengid victory,"Raymond III, Count of Tripoli","<9,000","30,000",R,,,,,,,D
1194,Battle of al-Babein,"March 18, 1167","Giza, Egypt",tactical draw,Shirkuh,"374 knights, some horse archers",Unknown,R,,,,,,,I
1195,Battle of Montgisard,"November 25, 1177","Montgisard (possibly Gezer), near Ramla",Crusader victory,Baldwin IV of Jerusalem,"26,000",Unknown,L,,,,,,,V
1196,Battle of Jacob's Ford,August 1179,"Jacob's Ford
33°00′16″N 35°37′41″E﻿ / ﻿33.004489°N 35.627954°E﻿ / 33.004489; 35.627954",Ayyubid victory,Saladin,About 1500,unknown,R,,,,,,,V
1197,Battle of Fujigawa,10 Nov. 1180,"Fuji River, beneath Mount Fuji",Minamoto victory,Minamoto no Yoritomo,"30,000","30,000",L,,,,,,,V
1198,Battle of Fujigawa,10 Nov. 1180,"Fuji River, beneath Mount Fuji",Minamoto victory,Taira no Koremori,"30,000","30,000",R,,,,,,,D
1200,Battle of Belvoir Castle (1182),"July–August, 1182","Belvoir Fortress, Israel
Coordinates: 32°35′44.03″N 35°31′17.8″E﻿ / ﻿32.5955639°N 35.521611°E﻿ / 32.5955639; 35.521611","Tactical draw
Strategic Crusader victory",Baldwin IV of Jerusalem,Unknown,Unknown,L,,,,,,,I
1202,Battle of Belvoir Castle (1182),"July–August, 1182","Belvoir Fortress, Israel
Coordinates: 32°35′44.03″N 35°31′17.8″E﻿ / ﻿32.5955639°N 35.521611°E﻿ / 32.5955639; 35.521611","Tactical draw
Strategic Crusader victory",Saladin,Unknown,Unknown,R,,,,,,,I
1203,Battle of Al-Fule (1183),September 1183,"By Merhavia in the Jezreel Valley, about 8 kilometres (5.0 mi) southeast of present-day Afula, Israel and 5 kilometres (3.1 mi) north of the Green Line towards the West Bank.",Indecisive,Guy of Lusignan,Unknown,Unknown,L,,,,,,,I
1204,Battle of Al-Fule (1183),September 1183,"By Merhavia in the Jezreel Valley, about 8 kilometres (5.0 mi) southeast of present-day Afula, Israel and 5 kilometres (3.1 mi) north of the Green Line towards the West Bank.",Indecisive,Saladin,Unknown,Unknown,R,,,,,,,I
1205,Battle of Yashima,"March 22, 1185","Yashima, just off Shikoku in the Seto Inland Sea",Minamoto victory,Taira no Munemori,"100+ men, 140 ships",Unknown,R,,,,,,,D
1206,Siege of Acre (1189–1191),August 1189 – July 1191,"Acre, Palestine",Crusader Victory,Richard I of England,"unknown

Garrison: 6,000
Relief force: 20,000+","Initially: 3,000 men
Later:~25,000 men
11 trebuchets",L,,,,,,,V
1207,Siege of Acre (1189–1191),August 1189 – July 1191,"Acre, Palestine",Crusader Victory,Saladin,"Initially: 3,000 men
Later:~25,000 men
11 trebuchets","unknown

Garrison: 6,000
Relief force: 20,000+",R,,,,,,,D
1208,Battle of Arsuf,7 September 1191,"Arsuf, Levant",Decisive Crusader victory[1],Richard I of England,Unknown,Unknown,L,,,,,,,V
1209,Battle of Arsuf,7 September 1191,"Arsuf, Levant",Decisive Crusader victory[1],Saladin,Unknown,Unknown,R,,,,,,,D
1210,Battle of Gisors,"September 27, 1198","Courcelles-lès-Gisors, Oise, Picardy, France",Truce,Richard I of England,300 and/or more,unknown,L,,,,,,,I
1211,Battle of Ümera,August or September 1210,"South of Valmiera, Latvia",Estonian victory,Caupo of Turaida,Unknown,"About 20 knights, unknown number of Livonian and Latgalian allies",L,,,,,,,D
1212,Battle of the Rhyndacus (1211),15 October 1211,Rhyndacus river,"Latin victory, Treaty of Nymphaeum",Theodore I Laskaris,"275 knights and escorts, in total ca. 2,000[1]",,L,,,,,,,D
1213,"Battle of Viljandi, 1211",1211,"Viljandi, Estonia
Coordinates: 58°21′34″N 25°35′46″E﻿ / ﻿58.35944°N 25.59611°E﻿ / 58.35944; 25.59611",Livonian Victory,Caupo of Turaida,Unknown,Unknown,L,,,,,,,V
1214,"Battle of Viljandi, 1211",1211,"Viljandi, Estonia
Coordinates: 58°21′34″N 25°35′46″E﻿ / ﻿58.35944°N 25.59611°E﻿ / 58.35944; 25.59611",Livonian Victory,Lembitu,Unknown,Unknown,R,,,,,,,D
1215,Battle of Zhongdu,1215,"Beijing, China",Mongol victory,Genghis Khan,"6,000",Unknown,L,,,,,,,V
1216,Battle of Zhongdu,1215,"Beijing, China",Mongol victory,Emperor Xuanzong of Jin,Unknown,"6,000",R,,,,,,,D
1217,"Battle of Otepää, 1217",February 1217,"Otepää, Estonia
Coordinates: 58°03′27″N 26°30′17″E﻿ / ﻿58.05750°N 26.50472°E﻿ / 58.05750; 26.50472",Crusaders were forced to leave Otepää,Volkwin,ca 20 000,more than 3000,L,,,,,,,D
1218,"Battle of Otepää, 1217",February 1217,"Otepää, Estonia
Coordinates: 58°03′27″N 26°30′17″E﻿ / ﻿58.05750°N 26.50472°E﻿ / 58.05750; 26.50472",Crusaders were forced to leave Otepää,Wladimir (Prince of Pskow),more than 3000,ca 20 000,R,,,,,,,V
1219,Battle of St. Matthew's Day,"September 21, 1217","Near Viljandi, Estonia",Livonian victory,Volkwin,6000,3000,R,,,,,,,V
1220,Battle of Klokotnitsa,9 March 1230,"Klokotnitsa, Bulgaria",Decisive Bulgarian victory,Ivan Asen II of Bulgaria,"unknown (""large army"")",unknown,L,,,,,,,V
1221,Battle of Yassıçemen,"Aug 10-12, 1230","Yassıçemen , between Sivas and Erzincan",Decisive Seljuk and Ayyubid victory,Kayqubad I,unknown,"42,000",L,,,,,,,V
1222,Battle of Yassıçemen,"Aug 10-12, 1230","Yassıçemen , between Sivas and Erzincan",Decisive Seljuk and Ayyubid victory,Jalal ad-Din Mingburnu,"42,000",unknown,R,,,,,,,D
1223,Battle of Saule,22 September 1236,Unknown,Decisive Samogitian victory,Volkwin,"4,000–5,000","3,000",L,,,,,,,D
1224,Battle of Saule,22 September 1236,Unknown,Decisive Samogitian victory,Vykintas,"3,000","4,000–5,000",R,,,,,,,V
1225,Battle on Lake Peipus,"April 5, 1242","Lake Peipus, between Estonia and Russia","Decisive Novgorodian victory

Teutonic order dropped all territorial claims over Russian lands",Alexander Nevsky,"10,000-12,000[2]","15,000-17,000[1]",L,,,,,,,V
1228,Battle of Kösedağ,"June 26, 1243",Kösedağ (about 60 km east of Sivas)[2],"Decisive Mongol victory
The Sultanate of Anatolia and the Empire of Trebizond became vassals of the Mongols.",Baiju,"60,000[3][6]-80,000[4]
(20,000–25,000 participated, the rest deserted)[5][7][8][9]","30,000[3][4]-40,000[5][6]",L,,,,,,,V
1229,Battle of Kösedağ,"June 26, 1243",Kösedağ (about 60 km east of Sivas)[2],"Decisive Mongol victory
The Sultanate of Anatolia and the Empire of Trebizond became vassals of the Mongols.",Kaykhusraw II,"30,000[3][4]-40,000[5][6]","60,000[3][6]-80,000[4]
(20,000–25,000 participated, the rest deserted)[5][7][8][9]",R,,,,,,,D
1231,Battle of Fariskur,"April 6, 1250",Egypt,Egyptian Ayyubids victory,Al-Muazzam Turanshah,"15,000 men[1]",Unknown,L,,,,,,,V
1232,Battle of Skuodas,1258 or 1259,"Luknė village, 6 km (3.7 mi) southwest of Skuodas[1]
56°14′11″N 21°26′26″E﻿ / ﻿56.23639°N 21.44056°E﻿ / 56.23639; 21.44056Coordinates: 56°14′11″N 21°26′26″E﻿ / ﻿56.23639°N 21.44056°E﻿ / 56.23639; 21.44056",Decisive Samogitian victory,Vykintas,Unknown,"3,000",L,,,,,,,V
1233,Battle of Skuodas,1258 or 1259,"Luknė village, 6 km (3.7 mi) southwest of Skuodas[1]
56°14′11″N 21°26′26″E﻿ / ﻿56.23639°N 21.44056°E﻿ / 56.23639; 21.44056Coordinates: 56°14′11″N 21°26′26″E﻿ / ﻿56.23639°N 21.44056°E﻿ / 56.23639; 21.44056",Decisive Samogitian victory,Bernard von Haren,"3,000",Unknown,R,,,,,,,D
1234,Battle of Callann,August 1261,"Kilgarvan, County Kerry, Ireland",King of Desmond victory,Fínghin Mac Carthaigh,?,?,L,,,,,,,V
1235,Battle of Callann,August 1261,"Kilgarvan, County Kerry, Ireland",King of Desmond victory,"John FitzGerald, 1st Baron Desmond",?,?,R,,,,,,,D
1236,Battle of Lewes,14 May 1264,"Lewes, Sussex",Baronial victory,Henry III of England,"c. 5,000","c. 10,000",R,,,,,,,D
1237,Battle of Bun'ei,"November 19, 1274","Hakata Bay, near present-day Fukuoka, Kyūshū",Japanese victory.,Hindun,"~10,000",?,R,,,,,,,D
1238,Battle of Dürnkrut and Jedenspeigen,26 August 1278,between Dürnkrut and Jedenspeigen in the present-day Austrian state of Lower Austria,German-Hungarian victory,Rudolf I of Germany,"~25–30,000[1]","~30,000[1]
~21,000 (out of it 2–3,000 Rudolf's & 18,000 László's combatants)[2]",L,,,,,,,V
1239,Battle of Dürnkrut and Jedenspeigen,26 August 1278,between Dürnkrut and Jedenspeigen in the present-day Austrian state of Lower Austria,German-Hungarian victory,Ottokar II of Bohemia,"~30,000[1]
~21,000 (out of it 2–3,000 Rudolf's & 18,000 László's combatants)[2]","~25–30,000[1]",R,,,,,,,D
1240,Siege of Berat (1280–1281),1280–1281,"Berat, Albania",Byzantine victory,Michael Tarchaneiotes,"8,000 men",Unknown,L,,,,,,,V
1241,Siege of Berat (1280–1281),1280–1281,"Berat, Albania",Byzantine victory,Hugh of Sully,Unknown,"8,000 men",R,,,,,,,D
1242,Battle of Kōan,"August 15, 1281","Hakata Bay, near present-day Fukuoka, Kyūshū",Decisive Japanese victory. Invasion repulsed. Destruction of several vessels of the Mongol fleet.,Hōjō Sanemasa,"~142,000 men in 4,400 ships","~40,000-60,000",L,,,,,,,V
1243,Battle of Kōan,"August 15, 1281","Hakata Bay, near present-day Fukuoka, Kyūshū",Decisive Japanese victory. Invasion repulsed. Destruction of several vessels of the Mongol fleet.,Atagai,"~40,000-60,000","~142,000 men in 4,400 ships",R,,,,,,,D
1244,Second Battle of Homs,29 October 1281,Homs,Mamluk Victory,Al-Mansur Qalawun,"80,000 (contemporary sources; most likely exaggerated)","Estimated 60-70,000",R,,,,,,,V
1245,Battle of Bạch Đằng (1288),1288,"Bạch Đằng, present northern Vietnam",Decisive Đại Việt victory,Trần Hưng Đạo,"80,000 regular troops
30,000 tribal auxiliaries from Yunnan and Hainan
a 1,000-man vanguard
500 ships[1]","50,000+",L,,,,,,,V
1247,Battle of Bạch Đằng (1288),1288,"Bạch Đằng, present northern Vietnam",Decisive Đại Việt victory,Omar Khan (general),"50,000+","80,000 regular troops
30,000 tribal auxiliaries from Yunnan and Hainan
a 1,000-man vanguard
500 ships[1]",R,,,,,,,D
1249,Siege of Copenhagen (1289),7 July 1289,"Copenhagen, Denmark",Danish victory,Eric VI of Denmark,More then 70,Unknown,L,,,,,,,V
1250,Siege of Copenhagen (1289),7 July 1289,"Copenhagen, Denmark",Danish victory,Eric II of Norway,Unknown,More then 70,R,,,,,,,D
1251,Battle of Skanör,9 July 1289,"Skanör, Sweden",Danish victory,Eric VI of Denmark,More then 70,,L,,,,,,,V
1252,Battle of Skanör,9 July 1289,"Skanör, Sweden",Danish victory,Eric II of Norway,,More then 70,R,,,,,,,D
1253,Battle of Mons-en-Pévèle,18 August 1304,"Mons-en-Pévèle, County of Flanders
(Modern France)",Decisive French victory[1],Philip IV of France,"12,000–15,000[3]","3,000 Knights[2]
10,000 Infantry[2]",L,,,,,,,V
1254,Battle of Mons-en-Pévèle,18 August 1304,"Mons-en-Pévèle, County of Flanders
(Modern France)",Decisive French victory[1],William of Jülich,"3,000 Knights[2]
10,000 Infantry[2]","12,000–15,000[3]",R,,,,,,,D
1255,Battle of Dysert O'Dea,10 May 1318,"O'Dea Castle near Corofin, County Clare",Ó Deághaidh victory,"Richard de Clare, Steward of Forest of Essex",?,?,R,,,,,,,D
1256,Battle of Bliska,August/September of 1322,"Bliska (present day Blizna) in the hinterland of Trogir, southern Croatia","Decisive victory of the coalition of noblemen and Dalmatian coastal towns against Mladen II Šubić of Bribir, Ban of Croatia",John Babonić,Unknown,Unknown,L,,,,,,,V
1257,Battle of Bliska,August/September of 1322,"Bliska (present day Blizna) in the hinterland of Trogir, southern Croatia","Decisive victory of the coalition of noblemen and Dalmatian coastal towns against Mladen II Šubić of Bribir, Ban of Croatia",Mladen II Šubić of Bribir,Unknown,Unknown,R,,,,,,,D
1258,Battle of Burton Bridge (1322),7–10 March 1322,"Burton upon Trent
52°48′24″N 1°37′26″W﻿ / ﻿52.8067°N 1.6238°W﻿ / 52.8067; -1.6238Coordinates: 52°48′24″N 1°37′26″W﻿ / ﻿52.8067°N 1.6238°W﻿ / 52.8067; -1.6238",Royalist victory,Edward II of England,"Up to 3,000 men[1]",,L,,,,,,,V
1259,Battle of Mühldorf,"September 28, 1322","Ampfing Heath (?), Mühldorf",Bavarian Victory,"Louis IV, Holy Roman Emperor","1400 knights,
Cuman cavalry
& mercenaries","1800 knights
& mercenaries",L,,,,,,,V
