,Battle,Date,Location,Result,belligerent,inflicted,opp,own,pos,taken,VorD
8879,Battle of Riade,15 March 933,"Central Germany, exact location unknown",German victory,Henry the Fowler,Reportedly minor,unknown,unknown,L,Reportedly minor,
8891,Battle of Simancas,July 19th 939,"Simancas, Spain",Leonese victory.,Ordoño II of León,,unknown,unknown,L,,
8895,Battle of Baghdad (946),"April – August, 946","Baghdad, modern-day Iraq",Decisive Buyid victory,Mu'izz al-Dawla,,unknown,unknown,L,,
8906,Battle of Lechfeld,10 August 955[1],"Lechfeld plain, near Augsburg, Bavaria",Decisive Germanic victory,"Boleslaus I, Duke of Bohemia","4,000–5,000 killed:

1,000 fell in the battle
~1,500 killed by local farmers [no farmers involved, citation needed]
2,000 fleeing Hungarians killed by German reserve-troops [no reserves used in battle, citation needed]","17,000 light cavalry
unknown infantry","8,000 heavy cavalry and infantry",L,"~3,000",
8911,Battle of Raban,October/November 958,"Raban, northern Syria (region)",Byzantine victory,John I Tzimiskes,,unknown,unknown,L,,
8914,Battle of Andrassos,8 November 960,"Andrassos or Adrassos, pass of Kylindros",Decisive Byzantine victory,Leo Phokas the Younger,Very heavy,unknown,unknown,L,Light,
8917,Battle of Bauds,962,"near Cullen, Scotland",Scottish victory.,Eric Bloodaxe,,unknown,unknown,L,,
8919,Battle of the Straits,early 965,"Straits of Messina, Italy",Decisive Fatimid victory,Niketas Abalantes,Unknown,unknown,unknown,L,"Heavy, ca. 1000 prisoners",
8928,Battle of Bạch Đằng (981),981,"Bạch Đằng river, northern Vietnam","Đại Cồ Việt victory, but paid tribute to the Song",Lê Hoàn,,unknown,unknown,L,,
8933,Battle of Crotone,"July 14, 982","Capo Colonna, near Crotone, Italy",Kalbid victory,Abu'l-Qasim Ali ibn al-Hasan al-Kalbi,"4,000 casualties, including
many nobles killed",Unknown,Unknown,R,Fewer than Imperial army,
8936,Battle of the Orontes,15 September 994,Orontes River (Syria),Fatimid victory,Michael Bourtzes,Unknown,unknown,unknown,L,"at least 5,000",
8961,Battle of Ashingdon,18 October 1016,"Unknown, various locations possible",Danish victory,Edmund Ironside,,unknown,unknown,L,,
8963,Battle of Carham,1018,River Tweed,Scottish victory,Uhtred the Bold,,unknown,unknown,L,,
8978,Battle of Shirimni,"September 11, 1021","Shirimni, at the Lake Palakazio, now Childir, Turkey",Byzantine victory,Basil II,,unknown,unknown,L,,
8980,Battle of Svindax,1022,"Svindax, Phasiane (now northeast Turkey)",Decisive Byzantine victory,Basil II,,unknown,unknown,L,,
9010,Battle of Graus,1063,"Graus, Spain",Castilian–Zaragozan victory,Ramiro I of Aragon,,unknown,unknown,L,,
9049,Battle of Cabra,1079,"Cabra, Province of Córdoba, Spain",Victory for Taifa of Sevilla,Al-Mu'tamid ibn Abbad,,unknown,unknown,L,,
9069,Battle of Alnwick (1093),13 November 1093,"Alnwick, Northumberland, England",English victory,Malcolm III of Scotland,,unknown,unknown,L,,
9075,Battle of Civetot,21 October 1096,Nikea,"Decisive Seljuk Turks victory.

End of the People's Crusade",Kilij Arslan I,"17,000","20,000","5,000",L,50,
9077,Siege of Nicaea,"May 14, 1097 – June 19, 1097",Nicaea,Crusader–Byzantine victory,Bohemond I of Antioch,~4000,"Nicaean garrison:
Unknown, but sizeable
Kilij Arslan's relief force:
~10,000, mostly mounted archers [3]","Crusaders:
~30,000 infantry
~4,200-4,500 cavalry [1]
Byzantines:
~2,000 peltasts [2]",L,Unknown,
9091,Battle of Dorylaeum (1097),"July 1, 1097",Dorylaeum,Crusader victory,Robert Curthose,"~ 3,000[3]","~6,000-8,000 mounted archers[1][2]","Bohemond (vanguard):
~20,000[1]
Main force:
~ 30,000[1] (not all engaged)",L,"~ 4,000[3]",
9098,Siege of Antioch,21 October 1097 – 3 June 1098,"Antioch (present-day Antakya, Turkey)","Decisive Crusader–Byzantine victory

Antioch captured by the Crusaders
Principality of Antioch is formed",Bohemond I of Antioch,"Heavy

Entire garrison slain
Every relief force destroyed and routed","Antioch garrison:
5000[2]
Duqaq's relief force: ~10,000[3]
Radwan's relief force: ~12,000[4]
Kerbogha's relief force: ~35,000[5]","Crusaders:
~40,000 total at the start of the siege (includes non-combatants)
~20,000 during the second siege against Kerbogha[1]
Byzantines:
2,000 peltasts (withdrew in February 1098)",L,"Heavy

Thousands died to starvation, disease or in battle
Nearly all the horses",
9119,Siege of Jerusalem (1099),"June 7 – July 15, 1099",Jerusalem,"Decisive Crusader victory[1]

Jerusalem captured by the Crusaders
Kingdom of Jerusalem is formed","Eustace III, Count of Boulogne","Modern estimates:
Unknown, garrison killed and thousands of inhabitants massacred

Arab sources:
30,000-70,000[8]","Sizeable Garrison[5]
400 Elite Cavalrymen[4][6]","1,200-1,300 Knights
11,000-12,000 Infantry
[2][3][4]",L,"3,000-4,000[7]",
9127,Battle of Ascalon,"August 12, 1099","Ascalon, Fatimid Caliphate","Decisive Crusader victory[1]

Fatimid army retreats back to Egypt
End of the First Crusade","Eustace III, Count of Boulogne",Heavy[6],"20,000[4]-50,000[5]","1,200 Knights[4]
9,000 Infantry[4]",L,Light[1],
9133,Battle of Mersivan,Summer of 1101,Anatolia,Decisive Turkish victory,Anselm IV (archbishop of Milan),Relatively low,unknown,unknown,L,High,
9146,Battle of Ramla (1102),17 May 1102,Ramla,Fatimid victory,Baldwin I of Jerusalem,Unknown,"30,000 troops",500 knights,L,Nearly 500,
9178,Battle of Naklo,"August 10, 1109",Nakło nad Notecią,Polish victory,Bolesław III Wrymouth,30.000,unknown,unknown,L,few,
9179,Battle of Hundsfeld,"August 24, 1109","Hundsfeld (Psie Pole) near Wrocław in Silesia, Poland",Polish victory,Bolesław III Wrymouth,,unknown,unknown,L,,
9198,Battle of Welfesholz,11 February 1115,"Welfesholz, present-day Saxony-Anhalt, Germany",Saxon victory,"Lothair II, Holy Roman Emperor",,unknown,unknown,L,,
9223,Siege of Weinsberg,"December 21, 1140[1][2]","Weinsberg, Germany","Raised peacefully in December;
Settlement, imposed at the Diet of Frankfurt of 1142[3]",Conrad III of Germany,,unknown,unknown,L,,
9245,Siege of Damascus (1148),24–29 July 1148,Damascus,"Muslim victory

Crusader withdrawal
Damascus acquired by Nur ad-Din Zangi.",Nur ad-Din (died 1174),Unknown,"50,000",Unknown,R,Unknown,
9247,Battle of Inab,"June 29, 1149","Inab, Seljuk Sultanate (modern Syria)",Zengid victory,Nur ad-Din (died 1174),Heavy,"1,400[1]","6,000",R,Unknown,
9249,Battle of Ascalon (1153),25 January – 22 August 1153[1],"Ashkelon, Fatimid Caliphate
Coordinates: 31°40′1.68″N 34°32′53.3″E﻿ / ﻿31.6671333°N 34.548139°E﻿ / 31.6671333; 34.548139","Crusader victory, fall of Ascalon",Baldwin III of Jerusalem,,unknown,unknown,L,,
9251,Battle of Grathe Heath,23 October 1157,"Jutland Peninsula, Denmark","Ending the Danish Civil War, Valdemar I emerged victorious",Denmark,,unknown,unknown,L,,
9255,Battle of Harim,12 August 1164,"Harem, Syria",Zengid victory,Nur ad-Din (died 1174),"10,000?
Kalamanos, Hugh, Raymond, Bohemund, Joscelin captured","30,000","<9,000",L,Unknown,
9273,Battle of Myriokephalon,"September 17, 1176","Near Lake Beyşehir, Turkey[1]","Seljuk strategic victory
Military balance maintained[2]",Manuel I Komnenos,Unknown*[6],Unknown - probably smaller,"25,000–40,000 men[3][4]",L,Unknown*[5],
9289,Battle of Uji (1180),"June 23, 1180","Uji, just outside Kyoto",Taira victory; Minamoto commander and Prince Mochihito killed,Minamoto no Yorimasa,,unknown,unknown,L,,
9299,Battle of Sunomatagawa,6 August 1181,"Sunomata River, Owari Province",Sneak attack fails; Taira victory,Minamoto no Yukiie,,unknown,unknown,L,,
9302,Battle of Yahagigawa,Spring 1181,"Yahagi-gawa, Owari Province",Taira victory,Minamoto no Yukiie,,unknown,unknown,L,,
9312,Siege of Hiuchi,April–May 1183,"Hiuchiyama, Echizen Province","Siege succeeds; fortress falls, but Minamoto survive and escape",Minamoto no Yoshinaka,,unknown,unknown,L,,
9317,Battle of Shinohara,Summer 1183,"Shinohara, Kaga Province",Minamoto victory,Minamoto no Yoshinaka,,unknown,unknown,L,,
9324,Battle of Mizushima,"November 17, 1183","Mizushima, Bitchu Province",Taira victory[1],Yada Yoshiyasu,,unknown,unknown,L,,
9328,Siege of Fukuryūji,1183,"Fukuryūji, Okayama Prefecture",Minamoto victory; fortress falls,Imai Kanehira,,unknown,unknown,L,,
9330,Battle of Muroyama,1183,"Muroyama, Harima Province",Taira victory,Minamoto no Yukiie,,unknown,unknown,L,,
9332,Siege of Hōjūjidono,1184,"Hōjūji Palace, Kyoto",Siege succeeds; Minamoto no Yoshinaka victory,Minamoto no Yoshinaka,,unknown,unknown,L,,
9333,Battle of Uji (1184),"February 19, 1184","Uji, just outside Kyoto",Minamoto no Yoshitsune et al. victory,Minamoto no Yoshitsune,,unknown,unknown,L,,
9335,Battle of Awazu,"February 21, 1184","Awazu, Ōmi Province",Minamoto no Yoshitsune et al. victory; Minamoto no Yoshinaka killed,Minamoto no Yoshitsune,,unknown,unknown,L,,
9344,Battle of Kojima,1184,"Kojima, on the coast of the Seto Inland Sea",Minamoto victory,Minamoto no Noriyori,,unknown,unknown,L,,
9347,Battle of Demetritzes,7 November 1185,"Demetritzes (Sidirokastro, Greece)",Decisive Byzantine victory,Alexios Branas,,unknown,unknown,L,,
9396,Battle of Arsuf,7 September 1191,"Arsuf, Levant",Decisive Crusader victory[1],"Henry II, Count of Champagne","7,000 killed[6] (Itinerarium)","25,000 cavalry[4]","11,200 in total[2][3]

10,000 infantry
1,200 heavy cavalry",L,700 killed[5] (Itinerarium),
9425,Battle of Las Navas de Tolosa,16 July 1212,"Near Las Navas de Tolosa, Jaén, Andalusia, 38°17′04″N 3°34′58″W﻿ / ﻿38.28443°N 3.58286°W﻿ / 38.28443; -3.58286",Decisive Christian victory[1],Diego López II de Haro,very high[3][5],"~22,000–30,000[3][4]","12,000–14,000[3]",L,unknown,
9467,Siege of Trebizond (1222–23),1222–1223,Trebizond,Trapezuntine victory,Andronikos I of Trebizond,,unknown,unknown,L,,
9475,Battle of Poimanenon,1224,Poimanenon,Decisive Nicaean victory,John III Doukas Vatatzes,,unknown,unknown,L,,
9491,Battle of the Sit River,"March 4, 1238",Modern day Yaroslavl Oblast,Decisive Mongol victory,Boroldai,Entire Force,unknown,unknown,L,Light[1],
9493,Siege of Brescia,1238,"Brescia, Lombardy, present-day Italy",Guelph victory,"Frederick II, Holy Roman Emperor",,unknown,unknown,L,,
9494,Siege of Faenza,1239,"Faenza, Romagna, present-day Italy",Ghibelline victory,"Frederick II, Holy Roman Emperor",,unknown,unknown,L,,
9495,Battle of the Neva,15 July 1240,"Neva River, Russia",Novgorodian victory,Alexander Nevsky,,unknown,unknown,L,,
9515,Battle of Taillebourg,21 July 1242,"Taillebourg, Charente-Maritime (at the bridge over the Charente River)",Decisive French victory,Louis IX of France,,"est. 12,300","est. 4,000",L,,
9519,Siege of Viterbo,1243,"Viterbo, Lazio, present-day Italy",Guelph victory,"Frederick II, Holy Roman Emperor",,unknown,unknown,L,,
9520,Battle of Kösedağ,"June 26, 1243",Kösedağ (about 60 km east of Sivas)[2],"Decisive Mongol victory
The Sultanate of Rum and the Empire of Trebizond became vassals of the Mongols.",Baiju,"3,000 killed[5]","60,000[3][6]-80,000[4]
(20,000–25,000 participated, the rest deserted)[5][7][8][9]","30,000[3][4]-40,000[5][6]",L,unknown,
9537,Battle of Adrianople (1254),1254,Adrianople,Nicaean victory,Michael II Asen,,unknown,unknown,L,,
9539,Battle of Montebruno,25 February 1255,"Garzigliana, Province of Turin, Italy",Astigiani Victory,"William VII, Marquess of Montferrat",,unknown,unknown,L,,
9551,Battle of Baghdad (1258),29 January – 10 February 1258 (13 days),"Baghdad, modern-day Iraq",Decisive Mongol victory,David VI of Georgia,"50,000 soldiers,
200,000–800,000 civilians (Western sources)[5]
2,000,000 civilians (Arab sources)[6]","50,000","120,000[3]–150,000[4]",L,Unknown but believed to be minimal,
9555,Battle of Karydi,1256–1258,"Euboea, Central Greece, Peloponnese",Achaean victory,William of Villehardouin,,unknown,unknown,L,,
9559,Battle of Pelagonia,September 1259,Plain of Pelagonia,Decisive Nicaean victory,John Palaiologos (brother of Michael VIII),Heavy,"Unknown, but more than the Nicaeans","6,000 men[1]",L,Unknown,
9577,Siege of Constantinople (1260),1260,"Constantinople, Latin Empire",Nicaean failure,Michael VIII Palaiologos,,unknown,unknown,L,,
9591,Battle of Makryplagi,1263/1264,"Makryplagi, Messenia, Greece",Decisive Achaean victory,Alexios Philes,light,unknown,unknown,L,heavy,
9599,Battle of Benevento,26 February 1266,"near Benevento, present-day Italy",Guelph victory,Charles I of Anjou,"more than 2,500 cavalry killed
Unknown infantry","3,600 heavy cavalry
300 light cavalry
10,000 archers","4,600 cavalry
Unknown number of infantry",L,Unknown,
9605,Battle of Xiangyang,1267–14 March 1273[1],"Xiangyang, Hubei",Yuan victory,Lü Wenhuan,unknown,"100,000 Mongols and Han Chinese
5,000 ships","at least 8,000 regular troops plus 200,000 residents",L,unknown,
9611,Battle of Tagliacozzo,23 August 1268,"Scurcola Marsicana,[1] province of L'Aquila, present-day Italy",Anjou victory,Charles I of Anjou,,unknown,unknown,L,,
9615,Battle of Karuse,16 February 1270,"Moon Sound, frozen Baltic Sea
58°33′N 23°27′E﻿ / ﻿58.55°N 23.45°E﻿ / 58.55; 23.45Coordinates: 58°33′N 23°27′E﻿ / ﻿58.55°N 23.45°E﻿ / 58.55; 23.45",Lithuanian victory,Traidenis,52 knights and 600 low-rank soldiers,unknown,unknown,L,"1,600 killed[1]",
9638,Battle of Roccavione,12 December 1275,"Roccavione, Piedmont
Coordinates: 44°19′00″N 7°29′00″E﻿ / ﻿44.3167°N 7.48333°E﻿ / 44.3167; 7.48333",Decisive Ghibelline Victory[1],"Thomas I, Marquess of Saluzzo",,unknown,unknown,L,,
9641,Battle of Desio,21 January 1277,"Desio, Lombardy",Decisive Visconti victory,Ottone Visconti,,unknown,unknown,L,,
9652,Battle of Aizkraukle,"March 5, 1279",Near Aizkraukle,Lithuanian victory,Traidenis,71 knights killed,unknown,unknown,L,Unknown,
9655,Battle of Yamen,19 March 1279,"Yamen, Guangdong","Decisive Yuan victory

Fall of the Song dynasty",Zhang Shijie,Unknown,"20,000 Chinese soldiers
50+ warships","200,000 people, mostly non-combatants - Song court officials and servants
1,000+ ships, mostly transport ships with warship escorts. Their actual fighting capacity of soldiers probably numbered in the tens of thousands.",L,"At least 100,000 died either from fighting or drowning, the rest fled",
9704,Battle of Bạch Đằng (1288),1288,"Bạch Đằng, present northern Vietnam",Decisive Đại Việt victory,Trần Hưng Đạo,Almost all ships destroyed or captured,"80,000 regular troops
30,000 tribal auxiliaries from Yunnan and Hainan
a 1,000-man vanguard
500 ships[1]","50,000+",L,Unknown,
9721,Battle of Maes Moydog,5 March 1295,Field of Moydog,English victory,"William de Beauchamp, 9th Earl of Warwick",700,unknown,unknown,L,100,
9731,Battle of Furnes,20 August 1297,Veurne (Furnes),French victory[1],"Robert II, Count of Artois",,unknown,unknown,L,,
9734,Battle of Turaida,"June 1, 1298",On Gauja near Turaida Castle,Livonian Order defeated,Vytenis,20–22 or 60 knights killed,unknown,unknown,L,Unknown,
9735,Battle of Göllheim,2 July 1298,Göllheim near Worms,Habsburg victory,Albert I of Germany,,unknown,unknown,L,,
9741,Battle of Falconaria,1 December 1299,"La Falconara, between Marsala and Trapani",Sicilian victory,Frederick III of Sicily,,unknown,unknown,L,,
9743,Battle of the Golden Spurs,11 July 1302[1],"Kortrijk, County of Flanders
50°49′44″N 3°16′34″E﻿ / ﻿50.829°N 3.276°E﻿ / 50.829; 3.276Coordinates: 50°49′44″N 3°16′34″E﻿ / ﻿50.829°N 3.276°E﻿ / 50.829; 3.276",Flemish victory,William of Jülich,"c.1,000~[3]","1,000 Pikemen[2]
1,000 Crossbowmen[2]
3,500 infantry[2]
2,500 nobles & knights[2]","9,000 men-at-arms[2]
400 nobles[2]",L,c.100,
9759,Battle of Gamelsdorf,9 November 1313,"Gammelsdorf, Bavaria",Bavarian victory [1],"Louis IV, Holy Roman Emperor",,unknown,unknown,L,,
9771,Battle of Montecatini,29 August 1315,"Montecatini Terme, Val di Nievole",Pisan victory,Uguccione della Faggiuola,,unknown,unknown,L,,
9776,Battle of Manolada,"July 5, 1316",Manolada on the Elian Plain,Victory for Louis of Burgundy,Louis of Burgundy,,unknown,unknown,L,,
9808,Battle of Varey,7 August 1325,"Saint-Jean-le-Vieux, Ain, France
46°00′28″N 5°25′31″E﻿ / ﻿46.00778°N 5.42528°E﻿ / 46.00778; 5.42528Coordinates: 46°00′28″N 5°25′31″E﻿ / ﻿46.00778°N 5.42528°E﻿ / 46.00778; 5.42528",Dauphiné victory,Guigues VIII of Viennois,,unknown,unknown,L,,
9837,Siege of Kanagasaki (1337),"January - April 7, 1337","Kanegasaki fortress, Tsuruga, Echizen Province",Shogunate victory,Kō no Moroyasu,,unknown,unknown,L,,
9854,Battle of Rio Salado,30 October 1340,"Salado River, near Tarifa","Portuguese-Castilian victory
Defeat of the Marinid invasion",Alfonso XI of Castile,,"67,000[1]","1,000 knights[1]
8,000 cavalry[1]
12,000 infantry[1]",L,,
9866,Battle of Gamenario,22 April 1345,"Gamenario, Piedmont",Decisive Ghibelline victory[1],Reforce d'Agoult,,unknown,unknown,L,,
9882,Battle of Crécy,26 August 1346,"Crécy-en-Ponthieu, Picardy, France
50°15′25″N 1°54′14″E﻿ / ﻿50.257°N 1.904°E﻿ / 50.257; 1.904Coordinates: 50°15′25″N 1°54′14″E﻿ / ﻿50.257°N 1.904°E﻿ / 50.257; 1.904",English victory,Edward the Black Prince,"Contemporary sources:
30,000 killed [5]
Modern estimates:
1,542 knights
2,300 genovese
French infantry losses unknown","Contemporary sources:
72,000 - 100,000

15,000 crossbowmen [2]

Modern consensus:
30,000:[3]

6,000 crossbowmen
12,000 men-at-arms
12,000 infantry","Modern estimates:
~14,000:[1]

2,500 men-at-arms
5,000 longbowmen
3,000 hobelars
3,500 spearmen
5 ribauldequin",L,"Modern consensus:
100–300 killed [4]",
9903,Fall of Gallipoli,March 1354,Gallipoli peninsula,"Ottoman occupation of Gallipoli
Europe open to Turkish expansion",Süleyman Pasha (son of Orhan),,unknown,unknown,R,,
9904,Battle of Poitiers (1356),19 September 1356,"Near Poitiers, France
46°32′N 0°24′E﻿ / ﻿46.53°N 0.4°E﻿ / 46.53; 0.4Coordinates: 46°32′N 0°24′E﻿ / ﻿46.53°N 0.4°E﻿ / 46.53; 0.4",Decisive English victory,Edward the Black Prince,"2,500 killed[2]
2,000 captured[2]","Modern estimates:
11,000:[1]

8,000 men-at-arms
3,000 infantry","Modern estimates:
6,000:[1]

2,000 longbowmen
3,000 men-at-arms
1,000 Gascon infantry",L,Minimal,
9922,Battle of Helsingborg (1362),8 July 1362,Øresund off Helsingborg,Danish victory,Valdemar IV of Denmark,,unknown,unknown,L,,
9938,Battle of Nájera,3 April 1367,Nájera,Tactical victory for Peter I,Peter of Castile,Heavy losses[citation needed],"Total: more than 4,500[1]
2,500 Castilian soldiers
1,000 elite French mercenaries
1,000 Aragonese soldiers
Footsoldiers (escuderos de pie)","Total: more than 10,000.[1]
6,000 elite European mercenaries
2,000 Aquitaine soldiers
1,000 English soldiers
800 Castilian soldiers
500 English Longbowmen
300 Navarrese soldiers
Troops from Majorca
Henry deserters and other Spanish followers of King Peter.",L,Unknown[citation needed],
9960,Battle of Maritsa,"September 26, 1371",Maritsa River (near Chernomen (today Ormenio) in Greece),Decisive Ottoman victory[1],Vukašin of Serbia,Unknown,800 men[2][7],"20,000[2]-70,000 men[2][3][4][5][6]",L,"heavy combat losses[8]
thousands drowned[9]",
9968,Battle on Pyana River,August 2 [O.S. July 21] 1377,Pyana River (Russian: Пья́на),Defeat of Russian forces,Knyaz,,unknown,unknown,L,,
9975,Battle of Dubravnica,1380/1381,"Dubravnica near Paraćin,  Serbia",Serbian victory[1],Vitomir,,unknown,unknown,L,,
10019,Battle of Bileća,c. 26 August 1388,Bileća,Decisive Bosnian victory,Vlatko Vuković,,unknown,unknown,L,,
10026,Battle of Alessandria,25 July 1391,"Alessandria, Piedmont, Italy
44°55′N 08°37′E﻿ / ﻿44.917°N 8.617°E﻿ / 44.917; 8.617Coordinates: 44°55′N 08°37′E﻿ / ﻿44.917°N 8.617°E﻿ / 44.917; 8.617",Milanese victory,"John III, Count of Armagnac",,unknown,unknown,R,,
10027,Battle of Rovine,17 May 1395,"Rovine, Wallachia",Wallachian tactical victory[1][2][3][4],Mircea I of Wallachia,Heavy,unknown,unknown,L,Heavy,
10049,Battle of Nicopolis,25 September 1396,"Nicopolis, Bulgarian Empire
43°42′21″N 24°53′45″E﻿ / ﻿43.70583°N 24.89583°E﻿ / 43.70583; 24.89583Coordinates: 43°42′21″N 24°53′45″E﻿ / ﻿43.70583°N 24.89583°E﻿ / 43.70583; 24.89583",Decisive Ottoman victory,Stephen II Lackfi,"Heavy casualties, including the massacre of ~1,000 civilian hostages (Turkish and Bulgarian) by the Crusaders the night before the battle.","Heavily disputed but credibly estimated at perhaps 15,000-[6] 25,000.[7] See the Strength of forces section.","Heavily disputed but credibly estimated at perhaps 17,000-36,000.[6][8] See the Strength of forces section.",R,"Most of the Crusader army was destroyed or captured; a small portion, including Sigismund, escaped.[9]
300-3,000 prisoners were executed.[10][11]",
10089,Battle of Sanluri,"June 30, 1409","Sanluri, Sardinia",Decisive Sicilian victory,Martin I of Sicily,,unknown,unknown,L,,
10107,Battle of Agincourt,25 October 1415 (Saint Crispin's Day),"Azincourt, Pas-de-Calais, France
50°27′49″N 2°8′30″E﻿ / ﻿50.46361°N 2.14167°E﻿ / 50.46361; 2.14167Coordinates: 50°27′49″N 2°8′30″E﻿ / ﻿50.46361°N 2.14167°E﻿ / 50.46361; 2.14167",English victory,Henry V of England,"7,000–10,000 (mostly killed) and about 1,500 noble prisoners (executed)[4][unreliable source?][not in citation given]","Modern estimates range from 12,000 (outnumbering the English 4:3)[2] to 36,000 (outnumbering the English 6:1;[3] see Numbers at Agincourt.)
About 10,000 knights and men-at-arms (of which about 1,200 were mounted), unknown thousands of other infantry, crossbowmen and archers.","Modern estimates range from 6,000[1] to 9,000[2]
(see Numbers at Agincourt.) About  5⁄6 longbowmen,  1⁄6 dismounted knights and men-at-arms in heavy armour.",L,"Around 600 dead, unknown wounded[3]",
10116,Siege of Rouen,29 July 1418 – 19 January 1419,"Rouen, France",English victory,Henry V of England,,unknown,unknown,L,,
10155,Battle of Verneuil,17 August 1424,Close to Verneuil-sur-Avre in Normandy,Anglo-Burgundian victory,William II of Narbonne,1600,"8,000–10,000","14,000–16,000[1]",R,"6000–10,000",
10171,Battle of St. James,6th March 1426,Avranches,English victory,"John of Lancaster, 1st Duke of Bedford",650,"16,000",600,L,,
10178,Battle of Maclodio,11 October 1427,Maclodio,Decisive Venetian victory,Francesco Bussone da Carmagnola,"8,000 Milanese taken prisoner including Malatesta",unknown,unknown,L,Unknown,
10197,Battle of Beaugency (1429),16–17 June 1429,"Beaugency, France",French victory,Joan of Arc,,unknown,unknown,L,,
10205,Siege of Thessalonica (1422–1430),June 1422 – 29 March 1430,"Thessalonica and environs, with engagements at Gallipoli and various raids in the Aegean Sea","Ottoman victory, capture of the city",Andronikos Palaiologos (son of Manuel II),,unknown,unknown,L,,
10253,Battle of Grotniki,4 May 1439,"Grotniki, Poland",Royal army victory,Spycimir,,unknown,unknown,L,,
10254,Battle of Anghiari (1440),29 June 1440,"Anghiari, Province of Arezzo, Tuscany, Italy",League victory,Ludovico Trevisan,Light [1],unknown,unknown,L,Light [1],
10258,Siege of Novo Brdo (1440–41),October 1440 – 27 June 1441,"Novo Brdo, Serbian Despotate
42°36′N 21°26′E﻿ / ﻿42.600°N 21.433°E﻿ / 42.600; 21.433","Ottoman victory
Novo Brdo temporarily captured by the Ottomans",Murad II,heavy casualties of the population of Novo Brdo,unknown,unknown,L,Unknown,
10262,Battle of Zlatica,12 December 1443,"Zlatitsa pass in the Balkan Mountains, Ottoman Empire (modern-day Bulgaria)","Ottoman victory;
halting of the advance of the crusaders",Władysław III of Poland,,unknown,unknown,L,,
10267,Battle of Kunovica,2 or 5 January 1444,"Kunovica between Niš and Pirot, Ottoman Empire (modern-day Serbia)
43°10′49″N 22°10′34″E﻿ / ﻿43.18028°N 22.17611°E﻿ / 43.18028; 22.17611Coordinates: 43°10′49″N 22°10′34″E﻿ / ﻿43.18028°N 22.17611°E﻿ / 43.18028; 22.17611",Crusader victory[1],Władysław III of Poland,,unknown,unknown,L,,
10275,Battle of Gomit,1445,"Gomit, Ethiopia",Ethiopian victory,Zara Yaqob,Badlay ibn Sa'ad ad-Din,unknown,unknown,L,,
10277,Battle of Damghan (1447),1447,"Damghan, Semnan Province, Iran","Tactical Timurids of Samarkand Victory
Strategic Timurids of Khurasan Victory",Abul-Qasim Babur Mirza,,unknown,unknown,L,,
10298,Fall of Constantinople,6 April – 29 May 1453 (53 days),Constantinople (present-day Istanbul),"Decisive Ottoman victory[2][page needed]
Fall of the Byzantine Empire",Constantine XI Palaiologos,Unknown but heavy[24][4][page needed],"Ottomans
Land forces: [f] 50,000–80,000[14]:101[15]:49[16]:52[17]:618[12][page needed][18][page needed]


[g]100,000[6]:755–160,000[19][page needed][20][page needed]–200,000[3][page needed]


70 cannons[21]:139–14014 large and 56 small caliber)[22]:179

Naval forces:

70 ships, [12]:4420 galleys[23]
90 – 126 ships [10]","Byzantines Land forces:

7,000–10,000[5]:85[6]:755[7]:343[6]:755[8]:46[9][page needed]-12,000,[10] many of whom were civilians
600 Ottoman defectors[11]

Naval forces:

26 ships[12]:45[e]",L,"4,000 killed in total (including combatants and civilians)[12]:37-8
30,000 enslaved or deported[24]",
10311,Battle of Kruševac,"October 2, 1454",Kruševac,Serbian victory,Nikola Skobaljić,unknown,"32,000[2]","35,000-40,000",L,unknown,
10315,Battle of Arkinholm,1 May 1455,"Langholm, Dumfries and Galloway
grid reference NY3684 [1]
Coordinates: 55°9′N 3°0′W﻿ / ﻿55.150°N 3.000°W﻿ / 55.150; -3.000",Decisive Royal Victory,"George Douglas, 4th Earl of Angus",,unknown,unknown,L,,
10344,Battle of Sandwich (1460),15 January 1460,"At Sea, Near Sandwich, Kent",Yorkist victory,"Richard Woodville, 1st Earl Rivers",Unknown,800,Unknown,L,Unknown,
10405,Siege of Negroponte (1470),10 July – 5 August 1470,"Chalcis, Euboea","Ottoman victory, Negroponte captured",Mehmed the Conqueror,"6,000",unknown,unknown,L,"77,000",
10426,Battle of Brunkeberg,10 October 1471,"Stockholm, Sweden",Decisive Sture victory,Sten Sture the Elder,"1,370 killed
630 captured[1]","3,000 Danish regulars
3,000 German mercenaries
Total:
6,000 men","8,700 including peasants and some regulars
1,300 mounted knights
Total:
10,000 men[1]",L,Unknown,
10432,Siege of Neuss,29 July 1474 – 27 June 1475,"Neuss, Electorate of Cologne, Holy Roman Empire",Siege abandoned after relief by Imperial forces.,Charles the Bold,,unknown,unknown,L,,
10469,Battle of Breadfield,"October 13, 1479","The Breadfield (Kenyérmező), in Zsibód, near the River Maros, Transylvania, Kingdom of Hungary",Decisive Hungarian and Serbian victory[2],Jakšić noble family,"10,000-15,000 Turkish killed
1,000 Wallachian[citation needed]","6,000-20,000 Akıncı, Spakh and Asab, some Janissary
5,000 Wallachian troops[1]","12-15,000 men (Hungarians, Transylvanian Saxons, Szeklers, and Transylvanian Hungarians)",L,"3,000 killed[citation needed]",
